"","corona_mar"
"376",0.00129490240436834
"377",0.00152797410206208
"378",0.00051261291661458
"379",0.000749343518436237
"380",0.00075643870982537
"381",0.000518239371112516
"382",0.00204752220662304
"383",0.000980389468654115
"384",0.000258294979721628
"385",0.0013926919105027
"386",0.000258294979721615
"387",0.00102190979370581
"388",0.000749343518436192
"389",0.000749343518436195
"390",0.000492864850424598
"391",0.000722647012195192
"392",0.00102190979370577
"393",0.000769777119248533
"394",0.000773707813154015
"395",0.00180492370169549
"396",0.00204752220662302
"397",0.00226543258922418
"398",0.00025829497972164
"399",0.00025829497972166
"400",0.00025829497972162
"401",0.00025829497972162
"402",0.000258294979721646
"403",0.000258294979721617
"404",0.000258294979721625
"405",0.000258294979721633
"406",0.000258294979721633
"407",0.000258294979721632
"408",0.000258294979721647
"409",0.000258294979721631
"410",0.000258294979721619
"411",0.000258294979721621
"412",0.000258294979721634
"413",0.000258294979721642
"414",0.000258294979721611
"415",0.000258294979721618
"416",0.000258294979721633
"417",0.000258294979721634
"418",0.000258294979721619
"419",0.00025829497972163
"420",0.00025829497972163
"421",0.000258294979721632
"422",0.000258294979721629
"423",0.000258294979721625
"424",0.000258294979721636
"425",0.000258294979721632
"426",0.000258294979721632
"427",0.00201223314913447
"428",0.00126780389943317
"429",0.00128628592536117
"430",0.00204752220662305
"431",0.00227980189569015
"432",0.000258294979721613
"433",0.00102190979370576
"434",0.000490261706611464
"435",0.00025829497972163
"436",0.000258294979721599
"437",0.000258294979721639
"438",0.00051261291661456
"439",0.00204752220662303
"440",0.000495758354248971
"441",0.00102190979370576
"442",0.000722647012195198
"443",0.000722647012195175
"444",0.000492864850424595
"445",0.000722647012195198
"446",0.000680807296122236
"447",0.000258294979721621
"448",0.000773707813154072
"449",0.000258294979721615
"450",0.000258294979721621
"451",0.000492864850424596
"452",0.000512612916614578
"453",0.000258294979721638
"454",0.000258294979721622
"455",0.000258294979721634
"456",0.000258294979721631
"457",0.000768677332419514
"458",0.000512612916614565
"459",0.00025829497972164
"460",0.000258294979721637
"461",0.00023113409315126
"462",0.000258294979721623
"463",0.000688372553413455
"464",0.000258294979721638
"465",0.00025829497972163
"466",0.000513591529575582
"467",0.000512612916614563
"468",0.000258294979721613
"469",0.000258294979721615
"470",0.000512612916614565
"471",0.000512612916614575
"472",0.00025829497972164
"473",0.000258294979721631
"474",0.000722647012195203
"475",0.000258294979721628
"476",0.000722647012195208
"477",0.000258294979721637
"478",0.000258294979721625
"479",0.000258294979721603
"480",0.000258294979721654
"481",0.000258294979721635
"482",0.000258294979721644
"483",0.000258294979721627
"484",0.00025829497972163
"485",0.000258294979721631
"486",0.000258294979721644
"487",0.000513591529575622
"488",0.000258294979721622
"489",0.000258294979721611
"490",0.000258294979721649
"491",0.000258294979721614
"492",0.000258294979721635
"493",0.000258294979721635
"494",0.000258294979721634
"495",0.000258294979721638
"496",0.000258294979721623
"497",0.000490261706611474
"498",0.000258294979721626
"499",0.000258294979721622
"500",0.000258294979721654
"501",0.000238957305336977
"502",0.00123094197848772
"503",0.00124208595947354
"504",0.000980194711937214
"505",0.00101346193656238
"506",0.000256192946708269
"507",0.000256192946708234
"508",0.000516171278498792
"509",0.00127681766538558
"510",0.000510071594349865
"511",0.0010134619365624
"512",0.000510071594349896
"513",0.000508260565070318
"514",0.000760326850251638
"515",0.000509574942713124
"516",0.00127681766538556
"517",0.00100167554948731
"518",0.0010016755494873
"519",0.000256192946708227
"520",0.00050826056507034
"521",0.000508260565070327
"522",0.00127572609531381
"523",0.000739934245001614
"524",0.00076032685025164
"525",0.00127681766538555
"526",0.000499699608777488
"527",0.00151827477193901
"528",0.00102254499844287
"529",0.00128415540554213
"530",0.00025619294670824
"531",0.00178237498095286
"532",0.0010238109489018
"533",0.00020389540172072
"534",0.000203895401720707
"535",0.000513713145714195
"536",0.000233155563009129
"537",0.000233155563009148
"538",0.000233155563009119
"539",0.00100078857717292
"540",0.000233155563009123
"541",0.000233155563009122
"542",0.000233155563009132
"543",0.000507443788333012
"544",0.000506884633629606
"545",0.000768229366405918
"546",0.000258357119682387
"547",0.000513603507956917
"548",0.000513603507956921
"549",0.000513442636092705
"550",0.000513591529575598
"551",0.000236571858407362
"552",0.000254059254659293
"553",0.000254059254659289
"554",0.000254059254659284
"555",0.000254059254659293
"556",0.000254059254659294
"557",0.00025405925465929
"558",0.000254059254659301
"559",0.000254059254659282
"560",0.000254059254659275
"561",0.000254059254659269
"562",0.000254059254659285
"563",0.000254059254659289
"564",0.000254059254659282
"565",0.000238957305337
"566",0.000238957305336997
"567",0.00025619294670827
"568",0.000256192946708259
"569",0.000256192946708274
"570",0.000256192946708237
"571",0.000256192946708271
"572",0.000509574942713088
"573",0.000515633958986378
"574",0.000508260565070353
"575",0.000256192946708243
"576",0.00025619294670823
"577",0.000516171278498799
"578",0.000256192946708261
"579",0.00025619294670825
"580",0.000256192946708267
"581",0.000256192946708243
"582",0.000516171278498818
"583",0.000508260565070338
"584",0.000256192946708274
"585",0.000508260565070345
"586",0.000256192946708245
"587",0.000256192946708251
"588",0.000256192946708267
"589",0.000256192946708269
"590",0.000256192946708257
