"","influenza_rad"
"106",3.42525035765379
"107",3.42525035765379
"108",3.34370529327611
"109",3.42525035765379
"110",3.91666666666667
"111",3.46030042918455
"112",3.46030042918455
"113",4.19706723891273
"114",3.42525035765379
"115",3.41952789699571
"116",3.18633762517883
"117",3.82439198855508
"118",3.16130185979971
"119",4.27217453505007
"120",3.41952789699571
"121",3.37160228898426
"122",3.18633762517883
"123",3.18633762517883
"124",3.18633762517883
"125",3.18633762517883
"126",3.18633762517883
"127",3.18633762517883
"128",3.18633762517883
"129",3.18633762517883
"130",3.18633762517883
"131",3.18633762517883
"132",3.18633762517883
"133",3.39592274678112
"134",3.70636623748212
"135",3.44814020028612
"136",3.14628040057225
"137",4.04113018597997
"138",4.57975679542203
"139",4.0983547925608
"140",4.06902718168813
"141",4.50393419170243
"142",3.83512160228898
"143",3.77503576537911
"144",3.30579399141631
"145",3.66344778254649
"146",3.14628040057225
"147",3.30579399141631
"148",3.30579399141631
"149",3.7571530758226
"150",3.34370529327611
"151",3.35801144492132
"152",3.24356223175966
"153",3.28004291845494
"154",3.35801144492132
"155",3.70779685264664
"156",4.15629470672389
"157",3.14628040057225
"158",3.02753934191702
"159",3.49606580829757
"160",3.14628040057225
"161",3.80436337625179
"162",3.14628040057225
"163",3.28004291845494
"164",3.02753934191702
"165",3.14628040057225
"166",3.24356223175966
"167",3.14628040057225
"168",3.70779685264664
"169",3.35801144492132
"170",3.70779685264664
"171",3.30579399141631
"172",3.16130185979971
"173",3.42525035765379
"174",3.14628040057225
"175",3.35801144492132
"176",3.66201716738197
"177",3.2535765379113
"178",2.66487839771102
"179",3.59549356223176
"180",4.08905579399142
"181",4.10264663805436
"182",3.65557939914163
"183",3.80221745350501
"184",4.20207439198856
"185",3.90450643776824
"186",3.48247496423462
"187",4.07403433476395
"188",4.07761087267525
"189",4.07975679542203
"190",3.66559370529328
"191",3.30579399141631
"192",4.30293276108727
"193",3.67703862660944
"194",3.34370529327611
"195",4.10121602288984
"196",4.10979971387697
"197",4.20350500715308
"198",4.42811158798283
"199",4.20922746781116
"200",4.07403433476395
"201",3.5912017167382
"202",4.06831187410587
"203",4.20922746781116
"204",4.29577968526466
"205",4.34871244635193
"206",4.19921316165951
"207",4.08476394849785
"208",4.07904148783977
"209",4.07761087267525
"210",4.23783977110157
"211",3.34370529327611
"212",4.21137339055794
"213",4.11766809728183
"214",3.66917024320458
"215",4.08905579399142
"216",4.15057224606581
"217",3.82010014306152
"218",3.5261087267525
"219",4.05114449213162
"220",4.19062947067239
"221",4.29864091559371
"222",4.02038626609442
"223",3.65629470672389
"224",3.40808297567954
"225",4.44027181688126
"226",4.21065808297568
"227",4.21137339055794
"228",4.0947782546495
"229",4.12482117310443
"230",4.02682403433476
"231",4.21137339055794
"232",3.84585121602289
"233",4.07689556509299
"234",3.36087267525036
"235",4.03898426323319
"236",4.18848354792561
"237",3.95672389127325
"238",4.03326180257511
"239",3.61623748211731
"240",3.30579399141631
"241",4.07904148783977
"242",4.21995708154506
"243",4.39592274678112
"244",3.39592274678112
"245",4.30650929899857
"246",4.08118741058655
"247",3.36230329041488
"248",4.20922746781116
"249",4.16845493562232
"250",4.34585121602289
"251",4.21494992846924
"252",3.86087267525036
"253",4.0532904148784
"254",4.09620886981402
"255",4.27789699570815
"256",4.00178826895565
"257",3.90021459227468
