"","corona_res"
"816",157.28125
"817",157.28125
"818",206.59375
"819",157.28125
"820",157.28125
"821",157.28125
"822",206.59375
"823",206.59375
"824",157.28125
"825",157.28125
"826",206.59375
"827",206.59375
"828",206.59375
"829",157.28125
"830",157.28125
"831",157.28125
"832",206.59375
"833",206.59375
"834",157.28125
"835",206.59375
"836",157.28125
"837",157.28125
"838",206.59375
"839",157.28125
"840",157.28125
"841",157.28125
"842",206.59375
"843",206.59375
"844",157.28125
"845",206.59375
"846",206.59375
"847",157.28125
"848",157.28125
"849",232.1875
"850",157.28125
"851",157.28125
"852",206.59375
"853",206.59375
"854",206.59375
"855",157.28125
"856",157.28125
"857",157.28125
"858",157.28125
"859",206.59375
"860",157.28125
"861",157.28125
"862",157.28125
"863",157.28125
"864",206.59375
"865",157.28125
"866",206.59375
"867",206.59375
"868",206.59375
"869",157.28125
"870",157.28125
"871",157.28125
"872",157.28125
"873",157.28125
"874",157.28125
"875",206.59375
"876",174.53125
"877",214.1875
"878",206.59375
"879",206.59375
"880",157.28125
"881",206.59375
"882",206.59375
"883",157.28125
"884",157.28125
"885",206.59375
"886",157.28125
"887",206.59375
"888",157.28125
"889",206.59375
"890",206.59375
"891",157.28125
"892",157.28125
"893",206.59375
"894",206.59375
"895",157.28125
"896",157.28125
"897",157.28125
"898",206.59375
"899",206.59375
"900",206.59375
"901",206.59375
"902",157.28125
"903",206.59375
"904",157.28125
"905",157.28125
"906",157.28125
"907",157.28125
"908",206.59375
"909",157.28125
"910",206.59375
"911",157.28125
"912",157.28125
"913",206.59375
"914",157.28125
"915",157.28125
"916",157.28125
"917",157.28125
"918",157.28125
"919",157.28125
"920",206.59375
"921",157.28125
"922",157.28125
"923",206.59375
"924",157.28125
"925",157.28125
"926",157.28125
"927",206.59375
"928",157.28125
"929",157.28125
"930",157.28125
"931",157.28125
"932",157.28125
"933",206.59375
"934",157.28125
"935",206.59375
"936",206.59375
"937",206.59375
"938",206.59375
"939",157.28125
"940",206.59375
"941",206.59375
"942",157.28125
"943",206.59375
"944",206.59375
"945",157.28125
"946",157.28125
"947",157.28125
"948",157.28125
"949",157.28125
"950",157.28125
"951",157.28125
"952",206.59375
"953",157.28125
"954",206.59375
"955",157.28125
"956",157.28125
"957",206.59375
"958",206.59375
"959",157.28125
"960",206.59375
"961",157.28125
"962",206.59375
"963",157.28125
"964",206.59375
"965",206.59375
"966",157.28125
"967",206.59375
"968",157.28125
"969",206.59375
"970",157.28125
"971",157.28125
"972",157.28125
"973",157.28125
"974",206.59375
"975",157.28125
"976",157.28125
"977",157.28125
"978",157.28125
"979",157.28125
"980",206.59375
"981",206.59375
"982",157.28125
"983",157.28125
"984",157.28125
"985",206.59375
"986",157.28125
"987",174.53125
"988",157.28125
"989",206.59375
"990",206.59375
"991",157.28125
"992",157.28125
"993",157.28125
"994",157.28125
"995",206.59375
"996",157.28125
"997",157.28125
"998",157.28125
"999",206.59375
"1000",206.59375
"1001",206.59375
"1002",157.28125
"1003",157.28125
"1004",157.28125
"1005",206.59375
"1006",157.28125
"1007",206.59375
"1008",157.28125
"1009",206.59375
"1010",206.59375
"1011",206.59375
"1012",157.28125
"1013",157.28125
"1014",157.28125
"1015",206.59375
"1016",157.28125
"1017",157.28125
"1018",157.28125
"1019",206.59375
"1020",157.28125
"1021",157.28125
"1022",206.59375
"1023",157.28125
"1024",206.59375
"1025",157.28125
"1026",206.59375
"1027",157.28125
"1028",174.53125
"1029",157.28125
"1030",206.59375
"1031",163.75
"1032",157.28125
"1033",157.28125
"1034",206.59375
"1035",157.28125
"1036",157.28125
"1037",206.59375
"1038",206.59375
"1039",157.28125
"1040",157.28125
"1041",157.28125
"1042",157.28125
"1043",157.28125
"1044",157.28125
"1045",157.28125
"1046",206.59375
"1047",157.28125
"1048",206.59375
"1049",157.28125
"1050",157.28125
"1051",157.28125
