"","influenza_lin"
"165",725.061769616027
"166",743.826450999049
"167",725.061769616027
"168",848.633955709944
"169",767.185083415113
"170",848.633955709944
"171",756.348297213622
"172",727.897206703911
"173",781.605278944211
"174",725.061769616027
"175",767.185083415113
"176",837.003854389722
"177",745.813394390384
"178",644.59234828496
"179",820.660927986563
"180",959.68769948441
"181",964.185495806611
"182",835.393887582817
"183",873.671881984801
"184",998.418390804598
"185",902.518586931425
"186",794.311725259094
"187",954.76502198339
"188",955.932501834189
"189",956.63436123348
"190",837.900964630225
"191",756.348297213622
"192",1035.72019077901
"193",840.784684878469
"194",764.185337243402
"195",963.710059171598
"196",966.569732937685
"197",998.928699207769
"198",1086.08168935816
"199",1000.97516005122
"200",954.76502198339
"201",819.628433633885
"202",952.902974158947
"203",1000.97516005122
"204",1032.98308668076
"205",1053.58706199461
"206",997.39933656545
"207",958.276048050993
"208",956.400293613898
"209",955.932501834189
"210",1011.33454075032
"211",764.185337243402
"212",1001.74474628396
"213",969.206050086784
"214",838.8
"215",959.68769948441
"216",980.388261851016
"217",878.58125421443
"218",804.281481481481
"219",947.360155113912
"220",994.354617145764
"221",1034.07619047619
"222",937.58887023267
"223",835.572466866182
"224",777.87223880597
"225",1091.23618090452
"226",1001.48808608762
"227",1001.74474628396
"228",961.576383763838
"229",971.615212527964
"230",939.617307692308
"231",1001.74474628396
"232",885.74847042828
"233",955.698777506112
"234",767.787860931055
"235",943.472845763939
"236",993.596339603457
"237",917.991545326444
"238",941.65454107444
"239",825.688212927757
"240",756.348297213622
"241",956.400293613898
"242",1004.83496143959
"243",1072.66959385291
"244",775.249504165014
"245",1037.09418944017
"246",957.102840352596
"247",768.089605030458
"248",1000.97516005122
"249",986.574457344775
"250",1052.45234248788
"251",1003.03002309469
"252",889.983606557377
"253",948.049478535047
"254",962.049716957913
"255",1026.2032029404
"256",931.777830750894
"257",901.270002305741
"258",962.523516375277
"259",960.159174649963
"260",879.371878515186
"261",959.452135493373
"262",712.246355685131
"263",908.602510460251
"264",908.602510460251
"265",691.334984082066
"266",960.159174649963
"267",851.592156862745
"268",1003.54505776637
"269",956.63436123348
"270",962.049716957913
"271",712.246355685131
"272",916.9148486981
"273",956.63436123348
"274",972.582234386663
"275",961.576383763838
"276",725.061769616027
"277",912.420168067227
"278",971.373757455268
"279",712.246355685131
"280",962.049716957913
"281",848.081579518334
"282",959.452135493373
"283",712.246355685131
"284",958.981354268891
"285",1003.03002309469
"286",999.439529532089
"287",1146.2780058651
"288",908.602510460251
"289",712.246355685131
"290",907.547713025308
"291",820.144355853966
"292",959.452135493373
"293",951.974671212859
"294",1000.97516005122
"295",941.65454107444
"296",712.246355685131
"297",994.354617145764
"298",691.334984082066
