"","influenza_geo"
"1479",646
"1480",351
"1481",1224
"1482",351
"1483",327
"1484",1224
"1485",933
"1486",42
"1487",351
"1488",97
"1489",351
"1490",97
"1491",710
"1492",1278
"1493",1127
"1494",351
"1495",71
"1496",351
"1497",619
"1498",1378
"1499",97
"1500",351
"1501",351
"1502",42
"1503",327
"1504",633
"1505",351
"1506",754
"1507",116
"1508",351
"1509",64
"1510",97
"1511",351
"1512",1532
"1513",620
"1514",1621
"1515",428
"1516",145
"1517",933
"1518",428
"1519",327
"1520",351
"1521",1211
"1522",116
"1523",351
"1524",116
"1525",467
"1526",946
"1527",116
"1528",1507
"1529",1372
"1530",933
"1531",327
"1532",704
"1533",368
"1534",1096
"1535",519
"1536",116
"1537",1366
"1538",428
"1539",351
"1540",1554
"1541",704
"1542",428
"1543",703
"1544",97
"1545",1435
"1546",1539
"1547",428
"1548",428
"1549",428
"1550",754
"1551",1981
"1552",97
"1553",1496
"1554",1641
"1555",447
"1556",356
"1557",428
"1558",428
"1559",1443
"1560",1547
"1561",428
"1562",1833
"1563",1204
"1564",1729
"1565",1818
"1566",428
"1567",1566
"1568",1288
"1569",351
"1570",97
"1571",428
"1572",1030
"1573",713
"1574",116
"1575",1154
"1576",740
"1577",703
"1578",1017
"1579",1355
"1580",423
"1581",1162
"1582",1977
"1583",1926
"1584",1797
"1585",116
"1586",1354
"1587",641
"1588",97
"1589",1314
"1590",71
"1591",2025
"1592",1630
"1593",720
"1594",1496
"1595",1562
"1596",1777
"1597",71
"1598",839
"1599",428
"1600",995
"1601",754
"1602",817
"1603",428
"1604",428
"1605",116
"1606",145
"1607",428
"1608",2174
"1609",2103
"1610",428
"1611",968
"1612",116
"1613",1098
"1614",1381
"1615",97
"1616",226
"1617",754
"1618",351
"1619",754
"1620",898
"1621",71
"1622",394
"1623",1121
"1624",428
"1625",890
"1626",703
"1627",116
"1628",351
"1629",1130
"1630",428
"1631",2218
"1632",1439
"1633",226
"1634",116
"1635",754
"1636",950
"1637",145
"1638",870
"1639",870
"1640",351
"1641",1280
"1642",327
"1643",116
"1644",666
"1645",145
"1646",1057
"1647",428
"1648",351
"1649",596
"1650",71
"1651",428
"1652",226
"1653",1089
"1654",1580
"1655",1483
"1656",673
"1657",116
"1658",1070
"1659",1268
"1660",97
"1661",754
"1662",1235
"1663",116
"1664",428
"1665",736
"1666",1542
"1667",327
"1668",42
"1669",955
"1670",1652
"1671",965
"1672",751
"1673",1274
"1674",1309
"1675",870
"1676",351
"1677",97
"1678",720
"1679",476
"1680",42
"1681",377
"1682",428
"1683",1170
"1684",784
"1685",428
"1686",1512
"1687",720
"1688",716
"1689",351
"1690",64
"1691",64
"1692",428
"1693",574
"1694",116
"1695",116
"1696",1024
"1697",1529
"1698",356
"1699",1311
"1700",754
"1701",71
"1702",145
"1703",754
"1704",692
"1705",1386
"1706",116
"1707",145
"1708",300
"1709",116
"1710",428
"1711",327
"1712",71
"1713",351
"1714",620
"1715",870
"1716",768
"1717",1268
"1718",42
"1719",657
"1720",428
"1721",1380
"1722",351
"1723",1332
"1724",351
"1725",1159
"1726",116
"1727",946
"1728",116
"1729",1237
"1730",351
"1731",226
"1732",226
"1733",71
"1734",351
"1735",655
"1736",226
"1737",428
"1738",428
"1739",97
"1740",71
"1741",145
"1742",428
"1743",1581
"1744",145
"1745",351
"1746",351
"1747",327
"1748",1053
"1749",1150
"1750",754
"1751",999
"1752",1054
"1753",1024
"1754",1687
"1755",1497
"1756",619
"1757",1513
"1758",428
"1759",428
"1760",71
"1761",746
"1762",596
"1763",447
"1764",356
"1765",351
"1766",97
"1767",620
"1768",870
"1769",351
"1770",327
"1771",226
"1772",999
"1773",754
"1774",720
"1775",116
"1776",428
"1777",116
"1778",327
"1779",351
"1780",270
"1781",116
"1782",619
"1783",351
"1784",1122
"1785",7
"1786",428
"1787",754
"1788",428
"1789",1059
"1790",387
"1791",356
"1792",351
"1793",351
"1794",946
"1795",428
"1796",351
"1797",933
"1798",116
"1799",777
"1800",1061
"1801",428
"1802",276
"1803",596
"1804",704
"1805",428
"1806",428
"1807",638
"1808",1351
"1809",428
"1810",1478
"1811",428
"1812",1080
"1813",351
"1814",1977
"1815",1275
"1816",351
"1817",351
"1818",351
"1819",396
"1820",734
"1821",116
"1822",145
"1823",71
"1824",1530
"1825",1511
"1826",1009
"1827",351
"1828",848
"1829",1218
"1830",71
"1831",1392
