"","influenza_lat"
"340",1003.16666666667
"341",1238.66666666667
"342",803.783333333333
"343",930.2
"344",803.783333333333
"345",908.916666666667
"346",1090.41666666667
"347",866.7
"348",993.5
"349",808.7
"350",1020.08333333333
"351",1114.66666666667
"352",1265.58333333333
"353",972.583333333333
"354",1073.41666666667
"355",957.833333333333
"356",817.45
"357",1003.16666666667
"358",993.5
"359",1093.58333333333
"360",866.7
"361",932.916666666667
"362",803.783333333333
"363",1087
"364",803.783333333333
"365",945.583333333333
"366",982.5
"367",1075.25
"368",1069.66666666667
"369",803.783333333333
"370",990.616666666667
"371",1021
"372",744.65
"373",744.65
"374",694.883333333333
"375",694.883333333333
"376",694.883333333333
"377",694.883333333333
"378",694.883333333333
"379",1139.66666666667
"380",799.116666666667
"381",799.116666666667
"382",748.55
"383",782.55
"384",782.55
"385",694.883333333333
"386",694.883333333333
"387",897.816666666667
"388",774.583333333333
"389",1122.16666666667
"390",1074.41666666667
"391",832.45
"392",1054.58333333333
"393",774.583333333333
"394",817.45
"395",817.45
"396",843.283333333333
"397",960.366666666667
"398",952.2
"399",803.783333333333
"400",985.916666666667
"401",803.783333333333
"402",859.033333333333
"403",951.416666666667
"404",838.2
"405",817.2
"406",846.366666666667
"407",726.266666666667
"408",767.083333333333
"409",767.083333333333
"410",767.083333333333
"411",1109.03333333333
"412",845.4
"413",1024.16666666667
"414",1000.75
"415",851.766666666667
"416",851.766666666667
"417",851.766666666667
"418",851.766666666667
"419",851.766666666667
"420",851.766666666667
"421",1054.28333333333
"422",851.766666666667
"423",851.766666666667
"424",851.766666666667
"425",851.766666666667
"426",851.766666666667
"427",851.766666666667
"428",851.766666666667
"429",851.766666666667
"430",1183.16666666667
"431",851.766666666667
"432",851.766666666667
"433",851.766666666667
"434",851.766666666667
"435",851.766666666667
"436",851.766666666667
"437",851.766666666667
"438",851.766666666667
"439",851.766666666667
"440",851.766666666667
"441",851.766666666667
"442",851.766666666667
"443",851.766666666667
"444",851.766666666667
