"","corona_rad"
"423",3.63565340909091
"424",3.63565340909091
"425",3.63565340909091
"426",3.63565340909091
"427",4.84446022727273
"428",4.53480113636364
"429",4.56463068181818
"430",4.87713068181818
"431",4.88991477272727
"432",3.63565340909091
"433",4.06321022727273
"434",3.65127840909091
"435",3.63565340909091
"436",3.63565340909091
"437",3.63565340909091
"438",3.71235795454545
"439",4.87713068181818
"440",3.65838068181818
"441",4.06321022727273
"442",3.68821022727273
"443",3.68821022727273
"444",3.66548295454545
"445",3.68821022727273
"446",3.70099431818182
"447",3.63565340909091
"448",4.15980113636364
"449",3.63565340909091
"450",3.63565340909091
"451",3.66548295454545
"452",3.71235795454545
"453",3.63565340909091
"454",3.63565340909091
"455",3.63565340909091
"456",3.63565340909091
"457",3.95667613636364
"458",3.71235795454545
"459",3.63565340909091
"460",3.63565340909091
"461",3.06747159090909
"462",3.63565340909091
"463",3.6953125
"464",3.63565340909091
"465",3.63565340909091
"466",3.76775568181818
"467",3.71235795454545
"468",3.63565340909091
"469",3.63565340909091
"470",3.71235795454545
"471",3.71235795454545
"472",3.63565340909091
"473",3.63565340909091
"474",3.68821022727273
"475",3.63565340909091
"476",3.68821022727273
"477",3.63565340909091
"478",3.63565340909091
"479",3.63565340909091
"480",3.63565340909091
"481",3.63565340909091
"482",3.63565340909091
"483",3.63565340909091
"484",3.63565340909091
"485",3.63565340909091
"486",3.63565340909091
"487",3.76775568181818
"488",3.63565340909091
"489",3.63565340909091
"490",3.63565340909091
"491",3.63565340909091
"492",3.63565340909091
"493",3.63565340909091
"494",3.63565340909091
"495",3.63565340909091
"496",3.63565340909091
"497",3.65127840909091
"498",3.63565340909091
"499",3.63565340909091
"500",3.63565340909091
"501",2.87144886363636
"502",3.59730113636364
"503",3.95099431818182
"504",3.48650568181818
"505",3.58735795454545
"506",3.26065340909091
"507",3.26065340909091
"508",3.82883522727273
"509",4.05326704545455
"510",3.40980113636364
"511",3.58735795454545
"512",3.40980113636364
"513",3.33167613636364
"514",3.44389204545455
"515",3.37428977272727
"516",4.05326704545455
"517",3.46377840909091
"518",3.46377840909091
"519",3.26065340909091
"520",3.33167613636364
"521",3.33167613636364
"522",4.25213068181818
"523",3.44247159090909
"524",3.44389204545455
"525",4.05326704545455
"526",3.28053977272727
"527",4.12713068181818
"528",3.94105113636364
"529",4.2890625
"530",3.26065340909091
"531",4.62144886363636
"532",4.00497159090909
"533",1.88849431818182
"534",1.88849431818182
"535",3.61292613636364
"536",2.96519886363636
"537",2.96519886363636
"538",2.96519886363636
"539",3.83025568181818
"540",2.96519886363636
"541",2.96519886363636
"542",2.96519886363636
"543",3.24786931818182
"544",3.19957386363636
"545",3.79048295454545
"546",3.56036931818182
"547",3.69389204545455
"548",3.69389204545455
"549",3.68678977272727
"550",3.76775568181818
"551",2.66264204545455
"552",3.13707386363636
"553",3.13707386363636
"554",3.13707386363636
"555",3.13707386363636
"556",3.13707386363636
"557",3.13707386363636
"558",3.13707386363636
"559",3.13707386363636
"560",3.13707386363636
"561",3.13707386363636
"562",3.13707386363636
"563",3.13707386363636
"564",3.13707386363636
"565",2.87144886363636
"566",2.87144886363636
"567",3.26065340909091
"568",3.26065340909091
"569",3.26065340909091
"570",3.26065340909091
"571",3.26065340909091
"572",3.37428977272727
"573",3.89133522727273
"574",3.33167613636364
"575",3.26065340909091
"576",3.26065340909091
"577",3.82883522727273
"578",3.26065340909091
"579",3.26065340909091
"580",3.26065340909091
"581",3.26065340909091
"582",3.82883522727273
"583",3.33167613636364
"584",3.26065340909091
"585",3.33167613636364
"586",3.26065340909091
"587",3.26065340909091
"588",3.26065340909091
"589",3.26065340909091
"590",3.26065340909091
"591",3.26065340909091
"592",3.26065340909091
"593",3.26065340909091
"594",3.26065340909091
"595",3.89133522727273
"596",3.26065340909091
"597",3.26065340909091
"598",3.26065340909091
"599",3.26065340909091
"600",3.26065340909091
"601",3.26065340909091
"602",3.33167613636364
"603",3.89133522727273
"604",3.26065340909091
"605",3.26065340909091
"606",3.26065340909091
"607",3.26065340909091
"608",3.26065340909091
"609",3.26065340909091
"610",3.26065340909091
"611",3.26065340909091
