"","influenza_bet"
"135",6.13247385620789e-05
"136",0
"137",0.000848518031230372
"138",0.00577943296889751
"139",0.000842992749095086
"140",0.000650915126365565
"141",0.00322154392264638
"142",0.000423361194345313
"143",0.000144332017358691
"144",0
"145",0.000275955771580843
"146",0
"147",0
"148",0
"149",0.000189925815683972
"150",1.73639209077554e-05
"151",1.44326993853001e-05
"152",0
"153",0
"154",1.44326993853001e-05
"155",0.000145951812569241
"156",0.00257436768883329
"157",0
"158",0
"159",6.43620446743172e-05
"160",0
"161",0.00018766761894189
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0.000145951812569241
"169",1.44326993853001e-05
"170",0.000145951812569241
"171",0
"172",0
"173",6.91581777827912e-05
"174",0
"175",1.44326993853001e-05
"176",0.000208445663476854
"177",1.30842099025173e-05
"178",0
"179",0.000487600334036592
"180",0.00158058588544389
"181",0.000378303704530011
"182",9.14738863759903e-05
"183",0.000214560521548711
"184",0.000657925450549093
"185",0.0012417339104729
"186",1.90392571888147e-05
"187",0.000563941494203331
"188",0.000503972330439151
"189",0.000424238354537493
"190",5.29155207689073e-05
"191",0
"192",0.00178892352910349
"193",0.000152967963086402
"194",1.73639209077554e-05
"195",0.00061220173936055
"196",0.000826734496314935
"197",0.00126793485435257
"198",0.00306045867558398
"199",0.000745523249992024
"200",0.000563941494203331
"201",0.00030336825505522
"202",0.000422769384901568
"203",0.000745523249992024
"204",0.000961934245787137
"205",0.00260285967123188
"206",0.000694177825177497
"207",0.000632411260996212
"208",0.000618049850277025
"209",0.000503972330439151
"210",0.00156518118814334
"211",1.73639209077554e-05
"212",0.000765495887404068
"213",0.000808661423952493
"214",0.000328908565202201
"215",0.000650152670730672
"216",0.00186910236998014
"217",0.000309819968950066
"218",0.00022270866024835
"219",0.00068865292386808
"220",0.000745367563578679
"221",0.00179157108984611
"222",0.000433776017614044
"223",0.00061245292143235
"224",0.000185435648260043
"225",0.00522862512590802
"226",0.00148938780142068
"227",0.000765495887404068
"228",0.000700594570818804
"229",0.00078815863996435
"230",0.000294748630322089
"231",0.000765495887404068
"232",0.000118146949671807
"233",0.00112297711501728
"234",8.62393937722638e-05
"235",0.000799265846296607
"236",0.000660628744582862
"237",0.000271895514245956
"238",0.000404570728243896
"239",0.000231651232583124
"240",0
"241",0.000520911461562198
"242",0.000905641399978364
"243",0.00313824657548866
"244",0.000139532420580421
"245",0.001263772559429
"246",0.000567508789539662
"247",9.19889165964868e-05
"248",0.000718009275169229
"249",0.000650229783642121
"250",0.00135074231212844
"251",0.000775042377691123
"252",0.00158306786311316
"253",0.000459373109422452
"254",0.000580631366020114
"255",0.00148082176316856
"256",0.000496754283628226
"257",0.000159827627351658
"258",0.000589627575915634
"259",0.00048975099418932
"260",0.000126998164429396
"261",0.000474937209254399
"262",8.14240329886802e-07
"263",0.000195518314200463
"264",0.000195518314200463
"265",0
"266",0.00048975099418932
"267",8.23619336721571e-05
"268",0.000795013281602506
"269",0.000452125596987837
"270",0.000580631366020114
"271",8.14240329886802e-07
"272",0.000362904937430412
"273",0.000633663921637024
"274",0.0009228476579626
"275",0.000564899580545872
"276",2.53282937617246e-06
"277",0.000220066717399535
"278",0.000846012297270268
"279",8.14240329886802e-07
"280",0.000580631366020114
"281",0.000144500194305822
"282",0.000474937209254399
"283",8.14240329886802e-07
"284",0.000517588432438893
"285",0.00084217977780912
"286",0.00154488750637417
"287",0.00587440670778796
"288",0.000195518314200463
"289",8.14240329886802e-07
"290",0.000273296401422055
"291",0.000215733919411084
"292",0.000474937209254399
"293",0.000417655055773467
"294",0.000718009275169229
"295",0.000675857399879621
"296",8.14240329886802e-07
"297",0.00148722168022606
"298",0
"299",8.14240329886802e-07
"300",0.000474937209254399
"301",8.14240329886802e-07
"302",0.000580631366020114
"303",0.000474937209254399
"304",0.00193909193133381
"305",0.000405772462909533
"306",0.000639072825545389
"307",9.24816492982426e-05
"308",0
"309",0.00169356038566352
"310",0.000215502245856951
"311",0.000393193403753421
"312",1.90392571888147e-05
"313",0.00121443866480723
"314",0.000765495887404068
"315",6.24844245885797e-05
"316",6.33031882745444e-05
"317",0.000840433946833585
"318",0
"319",0
"320",6.98884438597574e-05
"321",0.00157104069951884
"322",0
"323",0.00265046842294813
"324",0.000195567074268304
"325",5.43168767107135e-05
"326",0.00010316888781381
"327",0.000101285682774968
"328",0.00101242254026119
"329",0.00218588592105321
"330",0.000118146949671807
"331",0.00106018230250744
"332",0
"333",0
"334",0.000433603720457491
"335",0.00129406617814985
"336",0
"337",0.000163053407428269
"338",2.84563395952727e-05
"339",0.000299611369667573
"340",0.0001536601744697
"341",0.0066767385837805
"342",0
"343",0.000234043436031708
"344",0
"345",2.84252676789403e-05
"346",0.000688641319071451
"347",6.73983118151974e-05
"348",0.000118146949671807
"349",0.000135784711107431
"350",0.000305909432483711
"351",0.000590248861116715
"352",0.00383043788743253
"353",7.59866149940081e-05
"354",0.000512345083853376
"355",6.9928525307969e-05
"356",1.73639209077554e-05
"357",0.0001536601744697
"358",0.000118146949671807
"359",0.000694437029089833
"360",6.73983118151974e-05
"361",3.56356510279427e-05
"362",0
"363",0.000854606252377876
"364",0
"365",6.02016492908724e-05
"366",0.000262230516862788
"367",0.000506712595770787
"368",0.00107595166289234
"369",0
"370",0.00026714600838403
"371",0.00051868848033921
"372",1.0788625446465e-05
"373",1.0788625446465e-05
