"","corona_lev"
"161",-0.995433789954338
"162",-0.995433789954338
"163",-0.995433789954338
"164",-0.985165393913811
"165",-0.990578011295302
"166",-0.995433789954338
"167",-0.995433789954338
"168",-0.990578011295302
"169",-0.939888635788408
"170",-0.995433789954338
"171",-0.995433789954338
"172",-0.985165393913811
"173",-0.995433789954338
"174",-0.995433789954338
"175",-0.985165393913811
"176",-0.995433789954338
"177",-0.98999460006331
"178",-0.995433789954338
"179",-0.98999460006331
"180",-0.98999460006331
"181",-0.985165393913811
"182",-0.995433789954338
"183",-0.990578011295302
"184",-0.995433789954338
"185",-0.995433789954338
"186",-0.995433789954338
"187",-0.995433789954338
"188",-0.995433789954338
"189",-0.995433789954338
"190",-0.995433789954338
"191",-0.995433789954338
"192",-0.995433789954338
"193",-0.995433789954338
"194",-0.995433789954338
"195",-0.995433789954338
"196",-0.995433789954338
"197",-0.995433789954338
"198",-0.995433789954338
"199",-0.995433789954338
"200",-0.995433789954338
"201",-0.995433789954338
"202",-0.995433789954338
"203",-0.995433789954338
"204",-0.995433789954338
"205",-0.995433789954338
"206",-0.995433789954338
"207",-0.904224729042247
"208",-0.904761904761905
"209",-0.904761904761905
"210",-0.989684228670684
"211",-0.994535519125683
"212",-0.994535519125683
"213",-0.994535519125683
"214",-0.994535519125683
"215",-0.994535519125683
"216",-0.989684228670684
"217",-0.994535519125683
"218",-0.933333333333333
"219",-0.933333333333333
"220",-0.933333333333333
"221",-0.933333333333333
"222",-0.933333333333333
"223",-0.933333333333333
"224",-0.933333333333333
"225",-0.933333333333333
"226",-0.933333333333333
"227",-0.995433789954338
"228",-0.995433789954338
"229",-0.904535100434873
"230",-0.995433789954338
"231",-0.995433789954338
"232",-0.995433789954338
"233",-0.995433789954338
"234",-0.995433789954338
"235",-0.995433789954338
"236",-0.995433789954338
"237",-0.995433789954338
"238",-0.986269879417358
"239",-0.995433789954338
"240",-0.995433789954338
"241",-0.995433789954338
"242",-0.995433789954338
"243",-0.995433789954338
"244",-0.995433789954338
"245",-0.995433789954338
"246",-0.995433789954338
"247",-0.995433789954338
"248",-0.995433789954338
"249",-0.995433789954338
"250",-0.995433789954338
"251",-0.995433789954338
"252",-0.995433789954338
"253",-0.995433789954338
"254",-0.995433789954338
"255",-0.995433789954338
"256",-0.995433789954338
"257",-0.995433789954338
"258",-0.995433789954338
"259",-0.995433789954338
"260",-0.995433789954338
"261",-0.995433789954338
"262",-0.995433789954338
"263",-0.995433789954338
"264",-0.995433789954338
"265",-0.995433789954338
"266",-0.995433789954338
"267",-0.98019801980198
"268",-0.98019801980198
"269",-0.982905982905983
"270",-0.982905982905983
"271",-0.982905982905983
"272",-0.977601256176973
"273",-0.982905982905983
"274",-0.982905982905983
"275",-0.982905982905983
"276",-0.982905982905983
"277",-0.982905982905983
"278",-0.982905982905983
"279",-0.982905982905983
"280",-0.982905982905983
"281",-0.982905982905983
"282",-0.982905982905983
"283",-0.982905982905983
"284",-0.982905982905983
"285",-0.982905982905983
"286",-0.982905982905983
"287",-0.982905982905983
"288",-0.982905982905983
"289",-0.931768796175576
"290",-0.982905982905983
"291",-0.982905982905983
"292",-0.969515402674146
"293",-0.982905982905983
"294",-0.982905982905983
"295",-0.982905982905983
"296",-0.978184667408965
"297",-0.982905982905983
"298",-0.982905982905983
"299",-0.982905982905983
"300",-0.982905982905983
"301",-0.982905982905983
"302",-0.982905982905983
"303",-0.982905982905983
"304",-0.982905982905983
"305",-0.982905982905983
"306",-0.982905982905983
"307",-0.982905982905983
"308",-0.97290412577019
"309",-0.982905982905983
"310",-0.982905982905983
"311",-0.982905982905983
"312",-0.982905982905983
"313",-0.982905982905983
"314",-0.977601256176973
"315",-0.982905982905983
"316",-0.93899485316379
"317",-0.942857142857143
"318",-0.942857142857143
"319",-0.942857142857143
"320",-0.942857142857143
"321",-0.942857142857143
"322",-0.942857142857143
"323",-0.942857142857143
"324",-0.93899485316379
"325",-0.942857142857143
"326",-0.942857142857143
"327",-0.977011494252874
"328",-0.977011494252874
"329",-0.972716918616691
"330",-0.977011494252874
"331",-0.977011494252874
"332",-0.977011494252874
"333",-0.967238938346906
"334",-0.977011494252874
"335",-0.977011494252874
"336",-0.977011494252874
"337",-0.972406547224065
"338",-0.977011494252874
"339",-0.977011494252874
"340",-0.972406547224065
"341",-0.972406547224065
"342",-0.948978194068161
"343",-0.972406547224065
"344",-0.977011494252874
"345",-0.977011494252874
"346",-0.977011494252874
"347",-0.972406547224065
"348",-0.977011494252874
"349",-0.977011494252874
"350",-0.972716918616691
"351",-0.972716918616691
"352",-0.977011494252874
"353",-0.995433789954338
"354",-0.930928062311706
"355",-0.995433789954338
"356",-0.995433789954338
"357",-0.972716918616691
"358",-0.995433789954338
