"","influenza_la"
"792",4328
"793",1840
"794",1816
"795",3734
"796",2102
"797",2042
"798",462
"799",462
"800",3080
"801",306
"802",3406
"803",7256
"804",2002
"805",3538
"806",846
"807",1332
"808",824
"809",306
"810",9892
"811",884
"812",306
"813",2842
"814",306
"815",306
"816",808
"817",5020
"818",808
"819",1132
"820",808
"821",462
"822",1234
"823",462
"824",462
"825",462
"826",370
"827",370
"828",2728
"829",1082
"830",5754
"831",3800
"832",4900
"833",4466
"834",4204
"835",3850
"836",3260
"837",4292
"838",8054
"839",3002
"840",1278
"841",5224
"842",4556
"843",3926
"844",3260
"845",7486
"846",5220
"847",3260
"848",7206
"849",642
"850",3260
"851",6256
"852",11348
"853",3932
"854",7212
"855",2540
"856",10654
"857",5264
"858",1640
"859",642
"860",8374
"861",4326
"862",2134
"863",3898
"864",1324
"865",3260
"866",1220
"867",3872
"868",1994
"869",4466
"870",8524
"871",9944
"872",2400
"873",642
"874",1414
"875",3064
"876",4784
"877",3260
"878",3260
"879",2026
"880",9210
"881",3088
"882",2300
"883",1994
"884",3438
"885",3232
"886",5564
"887",1994
"888",2738
"889",1288
"890",1898
"891",3260
"892",3260
"893",5632
"894",1414
"895",1714
"896",2710
"897",2968
"898",1700
"899",9850
"900",642
"901",2608
"902",710
"903",2608
"904",2608
"905",710
"906",1288
"907",1288
"908",2608
"909",710
"910",2350
"911",1574
"912",710
"913",3296
"914",1574
"915",2062
"916",1482
"917",994
"918",710
"919",2350
"920",2062
"921",1288
"922",4676
"923",1830
"924",2350
"925",1574
"926",9702
"927",2486
"928",5132
"929",710
"930",1288
"931",1288
"932",1862
"933",5972
"934",710
"935",1288
"936",710
"937",2224
"938",2608
"939",2062
"940",1946
"941",1830
"942",1288
"943",2350
"944",710
"945",710
"946",2350
"947",710
"948",5268
"949",2094
"950",2186
"951",822
"952",354
"953",814
"954",2640
"955",958
"956",2596
"957",186
"958",2026
"959",186
"960",5094
"961",186
"962",186
"963",968
"964",376
"965",1308
"966",4672
"967",156
"968",156
"969",156
"970",4672
"971",156
"972",156
"973",2360
"974",3048
"975",3048
"976",156
"977",3254
"978",536
"979",156
"980",156
"981",620
"982",1222
"983",2016
"984",186
"985",186
"986",186
"987",2282
"988",186
"989",186
"990",156
"991",156
"992",156
"993",156
"994",166
"995",490
"996",166
"997",268
"998",166
"999",268
"1000",166
"1001",166
"1002",268
"1003",1072
"1004",166
"1005",1480
"1006",166
"1007",166
"1008",166
"1009",166
"1010",1318
"1011",166
"1012",166
"1013",1428
"1014",166
"1015",166
"1016",2228
"1017",634
"1018",166
"1019",744
"1020",2098
"1021",1914
"1022",4174
"1023",166
"1024",938
"1025",166
"1026",1490
"1027",166
"1028",976
"1029",734
"1030",166
"1031",166
"1032",2174
"1033",1394
"1034",166
"1035",166
"1036",250
"1037",3958
"1038",250
"1039",1890
"1040",1308
"1041",9370
"1042",3364
"1043",250
"1044",1890
"1045",534
"1046",1602
"1047",1022
"1048",1114
"1049",250
"1050",534
"1051",250
"1052",3578
"1053",828
"1054",828
"1055",3474
"1056",250
"1057",962
"1058",1458
"1059",250
"1060",1604
"1061",1164
"1062",8434
"1063",1890
"1064",3504
"1065",3092
"1066",3306
"1067",250
"1068",5430
"1069",1022
"1070",1542
"1071",250
"1072",860
"1073",860
"1074",1054
"1075",860
"1076",1082
"1077",860
"1078",994
"1079",2186
"1080",282
"1081",1606
"1082",1054
"1083",282
"1084",282
"1085",860
"1086",910
"1087",860
"1088",282
"1089",4326
"1090",860
"1091",2192
"1092",3002
"1093",1634
"1094",282
"1095",860
"1096",1262
"1097",626
"1098",626
"1099",4858
"1100",1692
"1101",5642
"1102",2134
"1103",1980
"1104",2554
"1105",2454
"1106",3798
"1107",626
"1108",2530
"1109",626
"1110",1066
"1111",2330
"1112",626
"1113",626
"1114",1262
"1115",626
"1116",626
"1117",626
"1118",626
"1119",626
"1120",626
"1121",626
"1122",626
"1123",7482
"1124",378
"1125",626
"1126",626
"1127",626
"1128",1692
"1129",626
"1130",626
"1131",626
"1132",626
"1133",626
"1134",626
"1135",626
"1136",2330
"1137",626
"1138",1372
"1139",100
"1140",100
"1141",678
"1142",2304
"1143",2704
"1144",100
"1145",100
"1146",100
"1147",4894
"1148",378
"1149",378
"1150",378
"1151",378
"1152",378
"1153",378
"1154",378
"1155",2886
"1156",100
"1157",100
"1158",100
"1159",872
"1160",770
"1161",770
"1162",770
"1163",2370
"1164",770
"1165",1398
"1166",1348
"1167",770
"1168",770
"1169",1398
"1170",770
"1171",576
"1172",576
"1173",576
"1174",576
"1175",576
"1176",576
"1177",576
"1178",576
"1179",576
"1180",576
"1181",576
"1182",1516
"1183",770
"1184",770
"1185",770
"1186",770
"1187",770
"1188",770
"1189",1348
"1190",1978
"1191",770
"1192",770
"1193",770
"1194",770
"1195",1204
"1196",576
"1197",576
"1198",576
"1199",576
"1200",576
"1201",1250
"1202",576
"1203",3628
"1204",576
"1205",3632
"1206",576
"1207",244
"1208",1054
"1209",3592
"1210",244
"1211",5248
"1212",4332
"1213",2526
"1214",3854
"1215",2526
"1216",3334
"1217",10370
"1218",8428
"1219",9464
"1220",2526
"1221",2526
"1222",1194
"1223",1194
"1224",2260
"1225",2260
"1226",1194
"1227",4898
"1228",1194
"1229",1194
"1230",4390
"1231",2004
"1232",1194
"1233",1194
"1234",6320
"1235",1194
"1236",8522
"1237",2974
"1238",2548
"1239",10762
"1240",1194
"1241",7472
"1242",7890
"1243",6328
"1244",8002
"1245",1194
"1246",4534
"1247",1194
"1248",6498
"1249",8168
"1250",2548
"1251",1838
"1252",1194
"1253",1194
"1254",7322
"1255",14100
"1256",1194
"1257",5378
"1258",7004
"1259",5796
"1260",2680
"1261",1194
"1262",1194
"1263",1194
"1264",1194
"1265",1194
"1266",1194
"1267",1194
"1268",1194
"1269",1566
"1270",1194
"1271",1194
"1272",7740
"1273",4518
"1274",1790
"1275",8858
"1276",218
"1277",10492
"1278",4456
"1279",7680
"1280",1348
"1281",2674
"1282",1348
"1283",626
"1284",1352
"1285",1732
"1286",4578
"1287",142
"1288",3310
"1289",8446
"1290",164
"1291",770
"1292",164
"1293",3456
"1294",2124
"1295",1394
"1296",5428
"1297",770
"1298",770
"1299",2878
"1300",5412
"1301",1980
"1302",218
"1303",68
"1304",6894
"1305",1210
"1306",2822
"1307",3324
"1308",4548
"1309",3018
"1310",3146
"1311",218
"1312",3286
"1313",5534
"1314",1158
"1315",1106
"1316",626
"1317",626
"1318",1692
"1319",7036
"1320",792
"1321",142
"1322",218
"1323",2008
"1324",5366
"1325",5364
"1326",2056
"1327",626
"1328",770
"1329",770
"1330",3410
"1331",8230
"1332",7832
"1333",1348
"1334",3836
"1335",2892
"1336",5202
"1337",5758
"1338",8556
"1339",1692
"1340",8302
"1341",1064
"1342",5002
"1343",6026
"1344",576
"1345",164
"1346",2824
"1347",3454
"1348",1352
"1349",770
"1350",1788
"1351",770
"1352",770
"1353",1924
"1354",7680
"1355",576
"1356",4376
"1357",6856
"1358",9136
"1359",1348
"1360",1692
"1361",2330
"1362",142
"1363",3678
"1364",1692
"1365",770
"1366",1352
"1367",92
"1368",7210
"1369",1704
"1370",8706
"1371",8306
"1372",1348
"1373",7936
"1374",4542
"1375",5556
"1376",770
"1377",974
"1378",1064
"1379",10504
"1380",1530
"1381",164
"1382",10242
"1383",4560
"1384",8124
"1385",6370
"1386",6080
"1387",11366
"1388",142
"1389",1348
"1390",8794
"1391",5992
"1392",3118
"1393",5856
"1394",6562
"1395",4080
"1396",2902
"1397",5038
"1398",4270
"1399",6698
"1400",8194
"1401",1944
"1402",626
"1403",164
"1404",6948
"1405",3642
"1406",770
"1407",9358
"1408",8620
"1409",7072
"1410",704
"1411",1518
"1412",5678
"1413",68
"1414",2370
"1415",3830
"1416",4494
"1417",2654
"1418",576
"1419",1516
"1420",8234
"1421",6244
"1422",7724
"1423",770
"1424",1530
"1425",3172
"1426",10666
"1427",92
"1428",770
"1429",92
"1430",1064
"1431",686
"1432",1886
"1433",5066
"1434",11096
"1435",1530
"1436",6354
"1437",7978
"1438",6504
"1439",1692
"1440",1692
"1441",626
"1442",378
"1443",770
"1444",1836
"1445",626
"1446",68
"1447",626
"1448",92
"1449",1370
"1450",770
"1451",164
"1452",8316
"1453",5938
"1454",6962
"1455",164
"1456",1348
