"","influenza_clo"
"764",9.92851469420175e-05
"765",0.000117288294628196
"766",9.91669972233241e-05
"767",9.88924050632911e-05
"768",0.000117813383600377
"769",0.000103177878662815
"770",9.35103796521414e-05
"771",0.000125407574617507
"772",0.00013728720483251
"773",9.15750915750916e-05
"774",0.000101978380583316
"775",1e-04
"776",9.30405656866394e-05
"777",9.99400359784129e-05
"778",0.000104558762024258
"779",0.000130378096479791
"780",0.000119303268909568
"781",9.30405656866394e-05
"782",0.000122609122118686
"783",9.55840183521315e-05
"784",9.30405656866394e-05
"785",0.00010771219302025
"786",0.000103177878662815
"787",0.000126294518817883
"788",0.000125786163522013
"789",0.00012846865364851
"790",9.30405656866394e-05
"791",0.000111831804965332
"792",0.000115713955102985
"793",0.00010275380189067
"794",0.000105797714769361
"795",0.000108108108108108
"796",0.000103434009102193
"797",0.000101791530944625
"798",9.31098696461825e-05
"799",9.31098696461825e-05
"800",0.000106428267347808
"801",9.15750915750916e-05
"802",0.000111931945377211
"803",0.000118906064209275
"804",0.000103177878662815
"805",0.000117205813408345
"806",9.35103796521414e-05
"807",9.88924050632911e-05
"808",9.61908426317815e-05
"809",9.15750915750916e-05
"810",0.000133120340788072
"811",9.71628449280995e-05
"812",9.15750915750916e-05
"813",0.000107112253641817
"814",9.15750915750916e-05
"815",9.15750915750916e-05
"816",9.6749226006192e-05
"817",0.000119217930376729
"818",9.6749226006192e-05
"819",9.82511298879937e-05
"820",9.6749226006192e-05
"821",9.31098696461825e-05
"822",0.000100381449508131
"823",9.31098696461825e-05
"824",9.31098696461825e-05
"825",9.31098696461825e-05
"826",9.2747171211278e-05
"827",9.2747171211278e-05
"828",0.000105529759392149
"829",9.77135040062537e-05
"830",0.000119617224880383
"831",0.000115633672525439
"832",0.000119161105815062
"833",0.000116740602381508
"834",0.000116360251338143
"835",0.000114757860913473
"836",0.000106315118009781
"837",0.000112943302462164
"838",0.000133904659882164
"839",0.000108601216333623
"840",0.000100421771440048
"841",0.000122339124051872
"842",0.000113378684807256
"843",0.000111383381599465
"844",0.000106315118009781
"845",0.000126646403242148
"846",0.000124347177319075
"847",0.000106315118009781
"848",0.000134553283100108
"849",9.51474785918173e-05
"850",0.000106315118009781
"851",0.000125628140703518
"852",0.00014446691707599
"853",0.000113327289211242
"854",0.000133297787256732
"855",0.000103799045048786
"856",0.000144009216589862
"857",0.000121065375302663
"858",9.95024875621891e-05
"859",9.51474785918173e-05
"860",0.000134843581445523
"861",0.000113817436831323
"862",0.000108201687946332
"863",0.000112032265292404
"864",9.9304865938431e-05
"865",0.000106315118009781
"866",9.87361769352291e-05
"867",0.000115393491807062
"868",0.000102901831652603
"869",0.000116740602381508
"870",0.000132661183337755
"871",0.000137023842148534
"872",0.000107342206955775
"873",9.51474785918173e-05
"874",0.00010048231511254
"875",0.000112283853581855
"876",0.000121743364986608
"877",0.000106315118009781
"878",0.000106315118009781
"879",0.000104646295521139
"880",0.000133155792276964
"881",0.000109745390693591
"882",0.000106541657788195
"883",0.000102901831652603
"884",0.000107388316151203
"885",0.000113739763421292
"886",0.00012591286829514
"887",0.000102901831652603
"888",0.000108861310690181
"889",9.76371802382347e-05
"890",0.000100725221595488
"891",0.000106315118009781
"892",0.000106315118009781
"893",0.000129098889749548
"894",0.00010048231511254
"895",0.0001001001001001
