"","corona_la"
"859",1554
"860",732
"861",732
"862",732
"863",732
"864",1554
"865",732
"866",1554
"867",1554
"868",1554
"869",732
"870",732
"871",732
"872",732
"873",732
"874",732
"875",1554
"876",968
"877",1634
"878",1554
"879",1554
"880",732
"881",1554
"882",1554
"883",732
"884",732
"885",1554
"886",732
"887",1554
"888",732
"889",1554
"890",1554
"891",732
"892",732
"893",1554
"894",1554
"895",732
"896",732
"897",732
"898",1554
"899",1554
"900",1554
"901",1554
"902",732
"903",1554
"904",732
"905",732
"906",732
"907",732
"908",1554
"909",732
"910",1554
"911",732
"912",732
"913",1554
"914",732
"915",732
"916",732
"917",732
"918",732
"919",732
"920",1554
"921",732
"922",732
"923",1554
"924",732
"925",732
"926",732
"927",1554
"928",732
"929",732
"930",732
"931",732
"932",732
"933",1554
"934",732
"935",1554
"936",1554
"937",1554
"938",1554
"939",732
"940",1554
"941",1554
"942",732
"943",1554
"944",1554
"945",732
"946",732
"947",732
"948",732
"949",732
"950",732
"951",732
"952",1554
"953",732
"954",1554
"955",732
"956",732
"957",1554
"958",1554
"959",732
"960",1554
"961",732
"962",1554
"963",732
"964",1554
"965",1554
"966",732
"967",1554
"968",732
"969",1554
"970",732
"971",732
"972",732
"973",732
"974",1554
"975",732
"976",732
"977",732
"978",732
"979",732
"980",1554
"981",1554
"982",732
"983",732
"984",732
"985",1554
"986",732
"987",968
"988",732
"989",1554
"990",1554
"991",732
"992",732
"993",732
"994",732
"995",1554
"996",732
"997",732
"998",732
"999",1554
"1000",1554
"1001",1554
"1002",732
"1003",732
"1004",732
"1005",1554
"1006",732
"1007",1554
"1008",732
"1009",1554
"1010",1554
"1011",1554
"1012",732
"1013",732
"1014",732
"1015",1554
"1016",732
"1017",732
"1018",732
"1019",1554
"1020",732
"1021",732
"1022",1554
"1023",732
"1024",1554
"1025",732
"1026",1554
"1027",732
"1028",968
"1029",732
"1030",1554
"1031",794
"1032",732
"1033",732
"1034",1554
"1035",732
"1036",732
"1037",1554
"1038",1554
"1039",732
"1040",732
"1041",732
"1042",732
"1043",732
"1044",732
"1045",732
"1046",1554
"1047",732
"1048",1554
"1049",732
"1050",732
"1051",732
"1052",732
"1053",1554
"1054",1554
"1055",732
"1056",732
"1057",732
"1058",732
"1059",1554
"1060",1554
"1061",1554
"1062",732
"1063",1554
"1064",732
"1065",732
"1066",1554
"1067",1554
"1068",732
"1069",1554
"1070",968
"1071",1554
"1072",1554
"1073",732
"1074",732
"1075",732
"1076",1554
"1077",202
"1078",202
"1079",202
"1080",202
"1081",202
"1082",202
"1083",202
"1084",202
"1085",202
"1086",202
"1087",202
"1088",202
"1089",202
"1090",202
"1091",202
"1092",202
"1093",202
"1094",202
"1095",202
"1096",202
"1097",202
"1098",202
"1099",202
"1100",202
"1101",202
"1102",202
"1103",202
"1104",202
"1105",202
"1106",202
"1107",202
"1108",202
"1109",202
"1110",202
"1111",202
"1112",202
"1113",202
"1114",202
"1115",820
"1116",820
"1117",820
"1118",820
"1119",820
"1120",820
"1121",820
"1122",820
"1123",820
"1124",820
"1125",820
"1126",820
"1127",820
"1128",820
"1129",820
"1130",820
"1131",820
"1132",820
"1133",820
"1134",820
"1135",820
"1136",820
"1137",820
"1138",820
"1139",820
"1140",820
"1141",820
"1142",820
"1143",820
"1144",820
"1145",820
"1146",820
"1147",820
"1148",820
"1149",820
"1150",820
"1151",820
"1152",820
"1153",820
"1154",820
"1155",820
"1156",820
"1157",820
"1158",820
"1159",820
"1160",820
"1161",820
"1162",820
"1163",820
"1164",820
"1165",820
"1166",820
"1167",820
"1168",820
"1169",820
"1170",820
"1171",820
"1172",820
"1173",820
"1174",820
"1175",820
"1176",820
"1177",820
"1178",820
"1179",820
"1180",820
"1181",820
"1182",820
"1183",820
"1184",820
"1185",820
"1186",898
"1187",820
"1188",820
"1189",820
"1190",820
"1191",820
"1192",820
"1193",820
"1194",820
"1195",820
"1196",820
"1197",820
"1198",820
"1199",820
"1200",820
"1201",820
"1202",820
"1203",820
"1204",898
"1205",820
"1206",820
"1207",820
"1208",820
"1209",820
"1210",820
"1211",820
"1212",820
"1213",820
"1214",820
"1215",820
"1216",820
"1217",820
"1218",820
"1219",820
"1220",820
"1221",820
"1222",820
"1223",820
"1224",820
"1225",820
"1226",820
"1227",820
"1228",820
"1229",820
"1230",820
"1231",820
"1232",820
"1233",820
"1234",820
"1235",820
"1236",820
"1237",820
"1238",820
"1239",820
"1240",820
"1241",820
"1242",820
"1243",820
"1244",820
"1245",820
"1246",820
"1247",820
"1248",820
"1249",820
"1250",820
"1251",820
"1252",820
"1253",820
"1254",820
"1255",820
"1256",820
"1257",820
"1258",820
"1259",820
"1260",820
"1261",820
"1262",820
"1263",820
"1264",820
"1265",820
"1266",820
"1267",820
"1268",820
"1269",820
"1270",820
"1271",820
"1272",820
"1273",820
"1274",820
"1275",820
"1276",820
"1277",820
"1278",820
"1279",820
"1280",820
"1281",820
"1282",820
"1283",820
"1284",820
"1285",820
"1286",820
"1287",820
"1288",820
"1289",820
"1290",820
"1291",820
"1292",820
"1293",820
"1294",820
"1295",820
"1296",820
"1297",820
"1298",820
"1299",820
"1300",820
"1301",820
"1302",820
"1303",820
"1304",820
"1305",820
"1306",820
"1307",820
"1308",820
"1309",820
"1310",820
"1311",820
"1312",820
"1313",820
"1314",820
"1315",820
"1316",820
"1317",820
"1318",820
"1319",820
"1320",820
"1321",820
"1322",820
"1323",820
"1324",820
"1325",820
"1326",820
"1327",820
"1328",820
"1329",820
"1330",820
"1331",820
"1332",820
"1333",820
"1334",820
"1335",820
"1336",234
"1337",234
"1338",234
"1339",234
"1340",234
"1341",234
"1342",234
"1343",234
"1344",234
"1345",234
"1346",234
"1347",234
"1348",234
"1349",234
"1350",234
"1351",234
"1352",234
"1353",234
"1354",234
"1355",234
"1356",76
"1357",76
"1358",76
"1359",76
"1360",76
"1361",76
"1362",76
"1363",76
"1364",76
"1365",76
"1366",76
"1367",76
"1368",76
"1369",76
"1370",76
"1371",76
"1372",76
"1373",76
"1374",76
"1375",76
"1376",76
"1377",76
"1378",76
"1379",876
"1380",876
"1381",876
"1382",876
"1383",876
"1384",876
"1385",876
"1386",876
"1387",876
"1388",876
"1389",876
"1390",876
"1391",62
"1392",70
"1393",70
"1394",70
