"","corona_dif"
"1370",38
"1371",38
"1372",38
"1373",38
"1374",38
"1375",38
"1376",38
"1377",38
"1378",38
"1379",438
"1380",438
"1381",438
"1382",438
"1383",438
"1384",438
"1385",438
"1386",438
"1387",438
"1388",438
"1389",438
"1390",438
"1391",31
"1392",35
"1393",35
"1394",35
"1395",35
"1396",94
"1397",106
"1398",1144
"1399",419
"1400",72
"1401",97
"1402",75
"1403",667
"1404",91
"1405",1040
"1406",161
"1407",396
"1408",346
"1409",1128
