"","influenza_eig"
"314",0.0500197640487855
"315",-0.273752312927445
"316",-0.120438254618962
"317",-0.299544180040654
"318",1.25221290426387
"319",1.25221290426387
"320",0.852762911793018
"321",-0.121197940440217
"322",1.25221290426387
"323",-1.20450379050374
"324",-0.674754175201701
"325",0.160522441737065
"326",-0.225199529475933
"327",0.600056056721329
"328",-0.558282298185012
"329",-2.10705499106721
"330",-0.999999999999993
"331",-1.3549482504976
"332",0.312906520203846
"333",0.312906520203846
"334",-0.583161556085315
"335",-0.488738478211915
"336",0.312906520203846
"337",0.19789398142016
"338",0.504457965106615
"339",-0.28064291162485
"340",-0.530420908459231
"341",-2.86785524756817
"342",0.312906520203846
"343",0.365515396854045
"344",0.312906520203846
"345",-0.194768859617733
"346",-0.26635366665852
"347",-0.0191458635588287
"348",-0.999999999999993
"349",-0.330674724737494
"350",-0.665457893057912
"351",-0.899049741460943
"352",-1.16149781601182
"353",-0.492324620178414
"354",-0.931254036642016
"355",-0.597837924698827
"356",0.29232559032343
"357",-0.530420908459231
"358",-0.999999999999993
"359",-1.43892941646359
"360",-0.0191458635588285
"361",-0.0901625448772481
"362",0.312906520203846
"363",-0.887998030500046
"364",0.312906520203846
"365",0.379416546663517
"366",0.11233277259574
"367",-0.521299018579747
"368",-1.55532173090595
"369",0.312906520203846
"370",-0.566095201823935
"371",0.380886259878036
"372",0.651822366898456
"373",0.651822366898456
"374",0.864770786229535
"375",0.864770786229535
"376",0.864770786229535
"377",0.864770786229535
"378",0.864770786229535
"379",-0.366690673298027
"380",0.713454662003186
"381",0.713454662003186
"382",0.879201624332243
"383",0.972376229440757
"384",0.972376229440757
"385",0.864770786229535
"386",0.864770786229535
"387",0.251060945008047
"388",0.433490500031334
"389",-0.342054796212463
"390",-0.44753153545365
"391",0.14694516203452
"392",-0.745687323858742
"393",0.433490500031334
"394",0.29232559032343
"395",0.29232559032343
"396",-0.0584926072903967
"397",0.400528518915215
"398",0.0747621146903709
"399",0.312906520203846
"400",0.309699826203913
"401",0.312906520203846
