"","corona_lat"
"220",356.1
"221",356.1
"222",356.1
"223",356.1
"224",356.1
"225",356.1
"226",356.1
"227",462.833333333333
"228",462.833333333333
"229",466
"230",462.833333333333
"231",462.833333333333
"232",462.833333333333
"233",462.833333333333
"234",462.833333333333
"235",462.833333333333
"236",462.833333333333
"237",462.833333333333
"238",508.25
"239",462.833333333333
"240",462.833333333333
"241",462.833333333333
"242",462.833333333333
"243",462.833333333333
"244",462.833333333333
"245",462.833333333333
"246",462.833333333333
"247",462.833333333333
"248",462.833333333333
"249",462.833333333333
"250",462.833333333333
"251",462.833333333333
"252",462.833333333333
"253",462.833333333333
"254",462.833333333333
"255",462.833333333333
"256",462.833333333333
"257",462.833333333333
"258",462.833333333333
"259",462.833333333333
"260",462.833333333333
"261",462.833333333333
"262",462.833333333333
"263",462.833333333333
"264",462.833333333333
"265",462.833333333333
"266",462.833333333333
"267",373.85
"268",373.85
"269",377.85
"270",377.85
"271",377.85
"272",465.866666666667
"273",377.85
"274",377.85
"275",377.85
"276",377.85
"277",377.85
"278",377.85
"279",377.85
"280",377.85
"281",377.85
"282",377.85
"283",377.85
"284",377.85
"285",377.85
"286",377.85
"287",377.85
"288",377.85
"289",392
"290",377.85
"291",377.85
"292",527.666666666667
"293",377.85
"294",377.85
"295",377.85
"296",477.616666666667
"297",377.85
"298",377.85
"299",377.85
"300",377.85
"301",377.85
"302",377.85
"303",377.85
"304",377.85
"305",377.85
"306",377.85
"307",377.85
"308",529.783333333333
"309",377.85
"310",377.85
"311",377.85
"312",377.85
"313",377.85
"314",465.866666666667
"315",377.85
"316",453.5
"317",338.283333333333
"318",338.283333333333
"319",338.283333333333
"320",338.283333333333
"321",338.283333333333
"322",338.283333333333
"323",338.283333333333
"324",453.5
"325",338.283333333333
"326",338.283333333333
"327",375.083333333333
"328",375.083333333333
"329",476.75
"330",375.083333333333
"331",375.083333333333
"332",375.083333333333
"333",525.666666666667
"334",375.083333333333
"335",375.083333333333
"336",375.083333333333
"337",472.25
"338",375.083333333333
"339",375.083333333333
"340",472.25
"341",472.25
"342",435.666666666667
"343",472.25
"344",375.083333333333
"345",375.083333333333
"346",375.083333333333
"347",472.25
"348",375.083333333333
"349",375.083333333333
"350",476.75
"351",476.75
"352",375.083333333333
"353",462.833333333333
"354",467
"355",462.833333333333
"356",462.833333333333
"357",476.75
"358",462.833333333333
"359",462.833333333333
"360",462.833333333333
"361",462.833333333333
"362",586.666666666667
"363",462.833333333333
"364",571.333333333333
"365",586.666666666667
"366",689.083333333333
"367",696
"368",520.166666666667
"369",462.833333333333
"370",462.833333333333
"371",462.833333333333
"372",662.833333333333
"373",481.166666666667
"374",467
"375",630.666666666667
"376",662.5
"377",665.166666666667
"378",476.75
"379",481.166666666667
"380",480.416666666667
"381",543.25
"382",684.25
"383",489.583333333333
"384",462.833333333333
"385",501.916666666667
"386",462.833333333333
"387",539.333333333333
"388",481.166666666667
"389",481.166666666667
"390",468.5
"391",472.916666666667
"392",539.333333333333
"393",518.666666666667
"394",555.916666666667
"395",681.333333333333
"396",684.25
"397",686.416666666667
"398",462.833333333333
"399",462.833333333333
"400",462.833333333333
"401",462.833333333333
"402",462.833333333333
"403",462.833333333333
"404",462.833333333333
"405",462.833333333333
"406",462.833333333333
"407",462.833333333333
"408",462.833333333333
"409",462.833333333333
"410",462.833333333333
"411",462.833333333333
"412",462.833333333333
"413",462.833333333333
"414",462.833333333333
"415",462.833333333333
"416",462.833333333333
"417",462.833333333333
"418",462.833333333333
"419",462.833333333333
"420",462.833333333333
"421",462.833333333333
"422",462.833333333333
"423",462.833333333333
"424",462.833333333333
"425",462.833333333333
"426",462.833333333333
"427",678.5
"428",622.75
"429",628
"430",684.25
"431",686.916666666667
"432",462.833333333333
"433",539.333333333333
"434",466
"435",462.833333333333
"436",462.833333333333
"437",462.833333333333
"438",476.75
"439",684.25
"440",467.25
"441",539.333333333333
"442",472.916666666667
"443",472.916666666667
