"","corona_lin"
"111",417.888701517707
"112",417.888701517707
"113",417.888701517707
"114",417.888701517707
"115",417.888701517707
"116",417.888701517707
"117",417.888701517707
"118",417.888701517707
"119",417.888701517707
"120",417.888701517707
"121",417.888701517707
"122",417.888701517707
"123",417.888701517707
"124",417.888701517707
"125",417.888701517707
"126",417.888701517707
"127",417.888701517707
"128",417.888701517707
"129",417.888701517707
"130",417.888701517707
"131",417.888701517707
"132",417.888701517707
"133",417.888701517707
"134",548.551189817377
"135",417.888701517707
"136",417.888701517707
"137",417.888701517707
"138",417.888701517707
"139",417.888701517707
"140",417.888701517707
"141",417.888701517707
"142",417.888701517707
"143",417.888701517707
"144",417.888701517707
"145",417.888701517707
"146",417.888701517707
"147",417.888701517707
"148",417.888701517707
"149",420.548154433602
"150",417.888701517707
"151",417.888701517707
"152",417.888701517707
"153",452.204379562044
"154",417.888701517707
"155",548.551189817377
"156",417.888701517707
"157",417.888701517707
"158",417.888701517707
"159",417.888701517707
"160",495.616
"161",417.888701517707
"162",417.888701517707
"163",417.888701517707
"164",548.551189817377
"165",495.616
"166",417.888701517707
"167",417.888701517707
"168",495.616
"169",421.621437686091
"170",417.888701517707
"171",417.888701517707
"172",548.551189817377
"173",417.888701517707
"174",417.888701517707
"175",548.551189817377
"176",417.888701517707
"177",483.056530214425
"178",417.888701517707
"179",483.056530214425
"180",483.056530214425
"181",548.551189817377
"182",417.888701517707
"183",495.616
"184",417.888701517707
"185",417.888701517707
"186",417.888701517707
"187",417.888701517707
"188",417.888701517707
"189",417.888701517707
"190",417.888701517707
"191",417.888701517707
"192",417.888701517707
"193",417.888701517707
"194",417.888701517707
"195",417.888701517707
"196",417.888701517707
"197",417.888701517707
"198",417.888701517707
"199",417.888701517707
"200",417.888701517707
"201",417.888701517707
"202",417.888701517707
"203",417.888701517707
"204",417.888701517707
"205",417.888701517707
"206",417.888701517707
"207",410.958540630182
"208",348.534458509142
"209",348.534458509142
"210",449.13094698686
"211",401.47104090725
"212",401.47104090725
"213",401.47104090725
"214",401.47104090725
"215",401.47104090725
"216",449.13094698686
"217",401.47104090725
"218",349.640917107584
"219",349.640917107584
"220",349.640917107584
"221",349.640917107584
"222",349.640917107584
"223",349.640917107584
"224",349.640917107584
"225",349.640917107584
"226",349.640917107584
"227",417.888701517707
"228",417.888701517707
"229",419.835662854723
"230",417.888701517707
"231",417.888701517707
"232",417.888701517707
"233",417.888701517707
"234",417.888701517707
"235",417.888701517707
"236",417.888701517707
"237",417.888701517707
"238",452.204379562044
"239",417.888701517707
"240",417.888701517707
"241",417.888701517707
"242",417.888701517707
"243",417.888701517707
"244",417.888701517707
"245",417.888701517707
"246",417.888701517707
"247",417.888701517707
"248",417.888701517707
"249",417.888701517707
"250",417.888701517707
"251",417.888701517707
"252",417.888701517707
"253",417.888701517707
"254",417.888701517707
"255",417.888701517707
"256",417.888701517707
"257",417.888701517707
"258",417.888701517707
"259",417.888701517707
"260",417.888701517707
"261",417.888701517707
"262",417.888701517707
"263",417.888701517707
"264",417.888701517707
"265",417.888701517707
"266",417.888701517707
"267",358.622286541245
"268",358.622286541245
"269",360.710334788937
"270",360.710334788937
"271",360.710334788937
"272",416.834314550042
"273",360.710334788937
"274",360.710334788937
"275",360.710334788937
"276",360.710334788937
"277",360.710334788937
"278",360.710334788937
"279",360.710334788937
"280",360.710334788937
"281",360.710334788937
"282",360.710334788937
"283",360.710334788937
"284",360.710334788937
"285",360.710334788937
"286",360.710334788937
"287",360.710334788937
"288",360.710334788937
"289",373.064358298833
"290",360.710334788937
"291",360.710334788937
"292",468.446124763705
"293",360.710334788937
"294",360.710334788937
"295",360.710334788937
"296",425.238953238953
"297",360.710334788937
"298",360.710334788937
"299",360.710334788937
"300",360.710334788937
"301",360.710334788937
"302",360.710334788937
"303",360.710334788937
"304",360.710334788937
"305",360.710334788937
"306",360.710334788937
"307",360.710334788937
"308",466.681732580038
"309",360.710334788937
"310",360.710334788937
"311",360.710334788937
"312",360.710334788937
"313",360.710334788937
"314",416.834314550042
"315",360.710334788937
"316",411.128992119453
"317",324.249918220478
"318",324.249918220478
"319",324.249918220478
"320",324.249918220478
"321",324.249918220478
"322",324.249918220478
"323",324.249918220478
"324",411.128992119453
"325",324.249918220478
"326",324.249918220478
"327",364.022034520749
"328",364.022034520749
"329",427.623813632442
"330",364.022034520749
"331",364.022034520749
"332",364.022034520749
"333",466.681732580038
"334",364.022034520749
"335",364.022034520749
"336",364.022034520749
"337",424.328767123288
"338",364.022034520749
"339",364.022034520749
"340",424.328767123288
"341",424.328767123288
"342",399.046698872786
"343",424.328767123288
"344",364.022034520749
"345",364.022034520749
