"","influenza_av","influenza_bar","influenza_clo","influenza_lat","influenza_res","influenza_dec","influenza_dif","influenza_geo","influenza_la","influenza_lev","influenza_lin","influenza_lob","influenza_mar","influenza_rad","influenza_eig","influenza_sub","influenza_bet","influenza_ecc","influenza_deg","influenza_auth","influenza_hub"
"1452",2.88706218727663,0.000123793018073781,0.000123793018073781,1089.5,467.375,467.375,4113,1566,8316,-0.927759241487524,967.766278781877,10,0.000542383522965521,4.11337625178827,0.269231459739518,79245138200673419264,0.000725514869679287,4,10,0.0149024581845867,0.0149024581845867
"1453",3.07433881343817,0.000116252034410602,0.000116252034410602,1022.33333333333,417.5,417.5,2954,1308,5938,-0.963880642147888,908.813764240874,6,0.000325718900180327,3.92596566523605,-0.329780555324998,4.0005956337793e+19,0.000256659914851037,4,6,0.0105884874605354,0.0105884874605354
"1454",2.95997140814868,0.000120743781695243,0.000120743781695243,1062.75,447.6875,447.6875,3460,1467,6962,-0.968653177242766,943.928519681236,7,0.000380582284681222,4.04041487839771,-0.3941065123629,53428184657946787840,0.000497674600742809,4,7,0.0122364885310932,0.0122364885310932
"1455",4.00643316654753,8.92060660124889e-05,8.92060660124889e-05,713.25,188.046875,188.046875,82,116,164,-0.975609756097561,697.378768956289,1,5.30299425177884e-05,2.99320457796853,0.513046844246682,3957055173674221,0,6,1,0.000105307099474433,0.000105307099474433
"1456",3.61472480343102,9.8872849515523e-05,9.8872849515523e-05,831.783333333333,275.09375,275.09375,673,556,1348,-0.987898237624827,772.949970338145,2,0.000108494783920007,3.38519313304721,0.381402278240518,463924002797564480,1.9775218172232e-05,5,2,0.00114023670858046,0.00114023670858046
"1457",4.00643316654753,8.92060660124889e-05,8.92060660124889e-05,713.25,188.046875,188.046875,82,116,164,-0.975609756097561,697.378768956289,1,5.30299425177837e-05,2.99320457796853,0.513046844246682,3957055173674221,0,6,1,0.000105307099474433,0.000105307099474433
"1458",3.37884203002144,0.0001057753331923,0.0001057753331923,914.583333333333,337.0625,337.0625,1587,885,3180,-0.987666783223246,826.910937169452,3,0.000163106784175449,3.62124463519313,0.526307224679308,13055921267230285824,1.2791125598513e-05,4,3,0.00604888544085869,0.00604888544085869
"1459",3.60257326661901,9.92063492063492e-05,9.92063492063492e-05,835.733333333333,278.1875,278.1875,532,574,1064,-0.996240601503759,775.557142857143,1,5.43809848917826e-05,3.39735336194564,0.817570444976713,765907314060289280,0,5,1,0.0014650744910097,0.0014650744910097
"1460",3.77483917083631,9.46790380609733e-05,9.46790380609733e-05,778.95,235.90625,235.90625,313,351,626,-0.993610223642173,740.164362810074,1,5.42159685875081e-05,3.22496423462089,0.523160353273384,53343310019090304,0,6,1,0.000386644269231439,0.000386644269231439
"1461",4.00643316654753,8.92060660124889e-05,8.92060660124889e-05,713.25,188.046875,188.046875,82,116,164,-0.975609756097561,697.378768956289,1,5.30299425177855e-05,2.99320457796853,0.513046844246682,3957055173674221,0,6,1,0.000105307099474433,0.000105307099474433
"1462",3.2144388849178,0.000111185234600845,0.000111185234600845,972.083333333333,380.1875,380.1875,1506,1115,3018,-0.986888884046848,869.203468979319,3,0.000163037458344389,3.78576537911302,-0.061431277051068,6446770647773073408,0.000155259187760168,4,3,0.00425052630558882,0.00425052630558882
"1463",2.64546104360257,0.000135098621994056,0.000135098621994056,1174.41666666667,530.9375,530.9375,4360,1903,8830,-0.940592133380388,1056.14914887868,11,0.000598303084265114,4.35515021459227,0.719046838627893,62301162602312900618,0.00174807530504015,4,11,0.0132135549123728,0.0132135549123728
"1464",3.78484631879914,9.44287063267233e-05,9.44287063267233e-05,773.666666666667,231.78125,231.78125,288,327,576,-0.993055555555556,738.207365439093,1,5.4240500219799e-05,3.21494992846924,0.667947616237332,78001279332811648,0,6,1,0.000467543969379403,0.000467543969379403
"1465",2.8506075768406,0.000125376128385155,0.000125376128385155,1101,476.375,476.375,2825,1620,5692,-0.948711078191076,980.142427281846,7,0.000379297259913429,4.14985693848355,-1.86523234319418,20302858995758874624,0.00155391149078132,4,7,0.00754310577104678,0.00754310577104678
"1466",3.60257326661901,9.92063492063492e-05,9.92063492063492e-05,836.2,278.421875,278.421875,593,574,1188,-0.984535412605588,775.557142857143,2,0.000108436503285197,3.39735336194564,0.17786953560516,719752305589966336,3.09178761105023e-05,6,2,0.0014202445475794,0.0014202445475794
