"","corona_av"
"282",3.89787234042553
"283",3.89787234042553
"284",3.89787234042553
"285",3.89787234042553
"286",3.89787234042553
"287",3.89787234042553
"288",3.89787234042553
"289",3.76879432624113
"290",3.89787234042553
"291",3.89787234042553
"292",3.00141843971631
"293",3.89787234042553
"294",3.89787234042553
"295",3.89787234042553
"296",3.3063829787234
"297",3.89787234042553
"298",3.89787234042553
"299",3.89787234042553
"300",3.89787234042553
"301",3.89787234042553
"302",3.89787234042553
"303",3.89787234042553
"304",3.89787234042553
"305",3.89787234042553
"306",3.89787234042553
"307",3.89787234042553
"308",3.01276595744681
"309",3.89787234042553
"310",3.89787234042553
"311",3.89787234042553
"312",3.89787234042553
"313",3.89787234042553
"314",3.37304964539007
"315",3.89787234042553
"316",3.41985815602837
"317",4.33617021276596
"318",4.33617021276596
"319",4.33617021276596
"320",4.33617021276596
"321",4.33617021276596
"322",4.33617021276596
"323",4.33617021276596
"324",3.41985815602837
"325",4.33617021276596
"326",4.33617021276596
"327",3.86241134751773
"328",3.86241134751773
"329",3.28794326241135
"330",3.86241134751773
"331",3.86241134751773
"332",3.86241134751773
"333",3.01276595744681
"334",3.86241134751773
"335",3.86241134751773
"336",3.86241134751773
"337",3.31347517730496
"338",3.86241134751773
"339",3.86241134751773
"340",3.31347517730496
"341",3.31347517730496
"342",3.52340425531915
"343",3.31347517730496
"344",3.86241134751773
"345",3.86241134751773
"346",3.86241134751773
"347",3.31347517730496
"348",3.86241134751773
"349",3.86241134751773
"350",3.28794326241135
"351",3.28794326241135
"352",3.86241134751773
"353",3.3645390070922
"354",3.34326241134752
"355",3.3645390070922
"356",3.3645390070922
"357",3.28794326241135
"358",3.3645390070922
"359",3.3645390070922
"360",3.3645390070922
"361",3.3645390070922
"362",2.66666666666667
"363",3.3645390070922
"364",2.75602836879433
"365",2.66666666666667
"366",2.10212765957447
"367",2.06524822695035
"368",3.04397163120567
"369",3.3645390070922
"370",3.3645390070922
"371",3.3645390070922
"372",2.24397163120567
"373",3.26524822695035
"374",3.34326241134752
"375",2.4241134751773
"376",2.24113475177305
"377",2.22836879432624
"378",3.28794326241135
"379",3.26524822695035
"380",3.26950354609929
"381",2.91063829787234
"382",2.12482269503546
"383",3.21985815602837
"384",3.3645390070922
"385",3.15460992907801
"386",3.3645390070922
"387",2.93758865248227
"388",3.26524822695035
"389",3.26524822695035
"390",3.33475177304965
"391",3.31205673758865
"392",2.93758865248227
"393",3.05248226950355
"394",2.84113475177305
"395",2.13900709219858
"396",2.12482269503546
