"","influenza_res"
"1150",209.984375
"1151",209.984375
"1152",209.984375
"1153",209.984375
"1154",209.984375
"1155",344.1875
"1156",184.90625
"1157",184.90625
"1158",184.90625
"1159",258.03125
"1160",250.71875
"1161",250.71875
"1162",250.71875
"1163",328.90625
"1164",250.71875
"1165",299.65625
"1166",275.09375
"1167",250.71875
"1168",250.71875
"1169",299.65625
"1170",250.71875
"1171",231.78125
"1172",231.78125
"1173",231.78125
"1174",231.78125
"1175",231.78125
"1176",231.78125
"1177",231.78125
"1178",231.78125
"1179",231.78125
"1180",231.78125
"1181",231.78125
"1182",289.34375
"1183",250.71875
"1184",250.71875
"1185",250.71875
"1186",250.71875
"1187",250.71875
"1188",250.71875
"1189",275.09375
"1190",323.09375
"1191",250.71875
"1192",250.71875
"1193",250.71875
"1194",250.71875
"1195",283.671875
"1196",231.78125
"1197",231.78125
"1198",231.78125
"1199",231.78125
"1200",231.78125
"1201",288.359375
"1202",231.78125
"1203",397.625
"1204",231.78125
"1205",399.3125
"1206",231.78125
"1207",197.84375
"1208",270.734375
"1209",370.296875
"1210",197.84375
"1211",439.25
"1212",396.125
"1213",315.921875
"1214",368.421875
"1215",315.921875
"1216",367.484375
"1217",545
"1218",458
"1219",542
"1220",315.921875
"1221",315.921875
"1222",290.234375
"1223",290.234375
"1224",356
"1225",356
"1226",290.234375
"1227",468.6875
"1228",290.234375
"1229",290.234375
"1230",446.75
"1231",343.484375
"1232",290.234375
"1233",290.234375
"1234",436.8125
"1235",290.234375
"1236",524.5625
"1237",402.125
"1238",358.4375
"1239",549.875
"1240",290.234375
"1241",551.1875
"1242",499.0625
"1243",446.9375
"1244",484.0625
"1245",290.234375
"1246",391.25
"1247",290.234375
"1248",491
"1249",455.5625
"1250",358.4375
"1251",334.109375
"1252",290.234375
"1253",290.234375
"1254",427.625
"1255",626.1875
"1256",290.234375
"1257",457.25
"1258",440.9375
"1259",478.25
"1260",370.578125
"1261",290.234375
"1262",290.234375
"1263",290.234375
"1264",290.234375
"1265",290.234375
"1266",290.234375
"1267",290.234375
"1268",290.234375
"1269",316.859375
"1270",290.234375
"1271",290.234375
"1272",464.375
"1273",411.875
"1274",304.90625
"1275",511.8125
"1276",196.671875
"1277",528.6875
"1278",424.25
"1279",509.1875
"1280",275.09375
"1281",376.4375
"1282",275.09375
"1283",235.90625
"1284",305.375
"1285",328.0625
"1286",441.125
"1287",183.125
"1288",344.75
"1289",495.5
"1290",188.046875
"1291",250.71875
"1292",188.046875
"1293",394.109375
"1294",361.25
"1295",308.375
"1296",434.5625
"1297",250.71875
"1298",250.71875
"1299",358.90625
"1300",443.1875
"1301",354.875
"1302",196.671875
"1303",175.015625
"1304",463.25
"1305",281.84375
"1306",349.25
"1307",368.375
"1308",420.6875
"1309",380.1875
"1310",397.25
"1311",196.671875
"1312",407.1875
"1313",429.125
"1314",284.75
"1315",262.625
"1316",235.90625
"1317",235.90625
"1318",312.3125
"1319",496.0625
"1320",250.859375
"1321",183.125
"1322",196.671875
"1323",318.3125
"1324",462.875
"1325",452.5625
"1326",328.34375
"1327",235.90625
"1328",250.71875
"1329",250.71875
"1330",405.59375
"1331",507.5
"1332",470.5625
"1333",275.09375
"1334",423.6875
"1335",398.9375
"1336",372.3125
"1337",496.0625
"1338",514.25
"1339",312.3125
"1340",482.5625
"1341",278.1875
"1342",456.6875
"1343",453.875
"1344",231.78125
"1345",188.046875
"1346",374.046875
"1347",400.25
"1348",305.375
"1349",250.71875
"1350",317.9375
"1351",250.71875
"1352",250.71875
"1353",320.65625
"1354",453.875
"1355",231.78125
"1356",410.9375
"1357",432.5
"1358",498.6875
"1359",275.09375
"1360",312.3125
"1361",346.15625
"1362",183.125
"1363",389.9375
"1364",312.3125
"1365",250.71875
"1366",305.375
"1367",177.21875
"1368",502.625
"1369",300.453125
"1370",477.875
"1371",513.3125
"1372",275.09375
"1373",502.8125
"1374",416.75
"1375",457.625
"1376",250.71875
"1377",267.171875
"1378",278.1875
"1379",528.125
"1380",303.875
"1381",188.046875
"1382",574.0625
"1383",425.5625
"1384",474.3125
"1385",425
"1386",422.375
"1387",569.375
"1388",183.125
"1389",275.09375
"1390",468.875
"1391",465.875
"1392",330.3125
"1393",445.0625
"1394",483.125
"1395",360.3125
"1396",394.0625
"1397",418.25
"1398",390.6875
"1399",458.375
"1400",545.5625
"1401",317.328125
"1402",235.90625
"1403",188.046875
"1404",464.5625
"1405",401.9375
"1406",250.71875
"1407",499.8125
"1408",527.1875
"1409",431.1875
"1410",244.390625
"1411",317.5625
"1412",474.6875
"1413",175.015625
"1414",372.125
"1415",357.3125
"1416",431.5625
"1417",322.296875
"1418",231.78125
"1419",302.65625
"1420",491.75
"1421",408.875
"1422",485
"1423",250.71875
"1424",303.875
"1425",410
"1426",553.8125
"1427",177.21875
"1428",250.71875
"1429",177.21875
"1430",278.1875
"1431",221.140625
"1432",317.984375
"1433",454.0625
"1434",560
"1435",303.875
"1436",424.625
"1437",443.75
"1438",419
"1439",312.3125
"1440",312.3125
"1441",235.90625
"1442",209.984375
"1443",250.71875
"1444",333.96875
"1445",235.90625
"1446",175.015625
"1447",235.90625
"1448",177.21875
"1449",296.9375
"1450",250.71875
"1451",188.046875
"1452",467.375
"1453",417.5
"1454",447.6875
"1455",188.046875
"1456",275.09375
"1457",188.046875
"1458",337.0625
"1459",278.1875
"1460",235.90625
"1461",188.046875
"1462",380.1875
"1463",530.9375
"1464",231.78125
"1465",476.375
"1466",278.421875
"1467",235.90625
"1468",244.390625
"1469",235.90625
"1470",248.28125
"1471",361.25
"1472",303.875
"1473",235.90625
"1474",177.21875
"1475",409.25
"1476",268.8125
"1477",406.4375
"1478",250.71875
"1479",292.015625
"1480",235.90625
"1481",402.875
"1482",235.90625
"1483",231.78125
"1484",401.75
"1485",346.15625
"1486",166.484375
"1487",235.90625
"1488",183.125
"1489",235.90625
"1490",183.125
"1491",303.875
"1492",412.296875
"1493",382.8125
"1494",235.90625
"1495",177.21875
"1496",235.90625
"1497",286.4375
"1498",429.875
"1499",183.125
"1500",235.90625
"1501",235.90625
"1502",166.484375
"1503",231.78125
"1504",289.625
"1505",235.90625
"1506",312.3125
"1507",188.046875
"1508",235.90625
"1509",175.015625
"1510",183.125
"1511",235.90625
"1512",460.25
"1513",287.234375
"1514",477.3125
"1515",250.71875
"1516",196.671875
"1517",346.15625
"1518",250.71875
"1519",231.78125
"1520",235.90625
"1521",398.9375
"1522",188.046875
"1523",235.90625
"1524",188.046875
"1525",258.5
"1526",348.6875
"1527",188.046875
"1528",454.8125
"1529",429.125
"1530",346.15625
"1531",231.78125
"1532",302.421875
"1533",239.609375
"1534",378.125
"1535",268.296875
"1536",188.046875
"1537",428.75
"1538",250.71875
"1539",235.90625
"1540",464.375
"1541",302.421875
"1542",250.71875
"1543",302.65625
"1544",183.125
"1545",441.6875
"1546",461.1875
"1547",250.71875
"1548",250.71875
"1549",250.71875
"1550",312.3125
"1551",545.5625
"1552",183.125
"1553",453.125
"1554",480.3125
"1555",254.234375
"1556",237.03125
"1557",250.71875
"1558",250.71875
"1559",443.1875
"1560",462.3125
"1561",250.71875
"1562",516.6875
"1563",397.25
"1564",497.1875
"1565",514.25
"1566",250.71875
"1567",467.375
"1568",413.75
"1569",235.90625
"1570",183.125
"1571",250.71875
"1572",364.625
"1573",304.90625
"1574",188.046875
"1575",388.25
"1576",310.390625
"1577",302.65625
"1578",361.8125
"1579",427.0625
"1580",250.109375
"1581",389
"1582",545.5625
"1583",534.875
"1584",509.9375
"1585",188.046875
"1586",425.375
"1587",291.5
"1588",183.125
"1589",418.25
"1590",177.21875
"1591",555.3125
"1592",478.25
"1593",305.375
"1594",452.796875
"1595",466.25
"1596",507.3125
"1597",177.21875
"1598",328.0625
"1599",250.71875
"1600",358.109375
"1601",312.3125
"1602",324.125
"1603",250.71875
"1604",250.71875
"1605",188.046875
"1606",196.671875
"1607",250.71875
"1608",582.5
"1609",569.1875
"1610",250.71875
"1611",353.046875
"1612",188.046875
"1613",377.75
"1614",430.8125
"1615",183.125
"1616",209.984375
"1617",312.3125
"1618",235.90625
"1619",312.3125
"1620",339.59375
"1621",177.21875
"1622",244.390625
"1623",381.3125
"1624",250.71875
"1625",338.09375
"1626",302.65625
"1627",188.046875
"1628",235.90625
"1629",383.75
"1630",250.71875
"1631",591.125
"1632",442.0625
"1633",209.984375
"1634",188.046875
"1635",312.3125
"1636",349.25
"1637",196.671875
"1638",333.96875
"1639",333.96875
"1640",235.90625
"1641",412.671875
"1642",231.78125
"1643",188.046875
"1644",296.1875
"1645",196.671875
"1646",369.828125
"1647",250.71875
"1648",235.90625
"1649",282.640625
"1650",177.21875
"1651",250.71875
"1652",209.984375
"1653",376.0625
"1654",469.625
"1655",451.0625
"1656",296.9375
"1657",188.046875
"1658",372.125
"1659",409.25
"1660",183.125
"1661",312.3125
"1662",403.0625
"1663",188.046875
"1664",250.71875
"1665",308.796875
"1666",461.75
"1667",231.78125
"1668",166.484375
"1669",349.859375
"1670",483.125
"1671",352.0625
"1672",311.984375
"1673",411.125
"1674",417.3125
"1675",333.96875
"1676",235.90625
"1677",183.125
"1678",305.375
"1679",260.28125
