"","corona_sub"
"127",6216768.16164396
"128",6216768.16164394
"129",6216768.16164396
"130",6216768.16164396
"131",6216768.16164396
"132",6216768.16164397
"133",6216768.16164395
"134",77399416.3304512
"135",6216768.16164396
"136",6216768.16164395
"137",6216768.16164393
"138",6216768.16164395
"139",6216768.16164395
"140",6216768.16164395
"141",6216768.16164395
"142",6216768.16164393
"143",6216768.16164395
"144",6216768.16164395
"145",6216768.16164396
"146",6216768.16164396
"147",6216768.16164394
"148",6216768.16164396
"149",7585227.35571022
"150",6216768.16164394
"151",6216768.16164395
"152",6216768.16164395
"153",11215975.370684
"154",6216768.16164397
"155",77399416.3304515
"156",6216768.16164396
"157",6216768.16164395
"158",6216768.16164395
"159",6216768.16164396
"160",33402486.5716653
"161",6216768.16164396
"162",6216768.16164395
"163",6216768.16164393
"164",77399416.3304514
"165",33402486.5716652
"166",6216768.16164394
"167",6216768.16164394
"168",33402486.5716653
"169",6642910.34341523
"170",6216768.16164396
"171",6216768.16164395
"172",77399416.3304516
"173",6216768.16164396
"174",6216768.16164395
"175",77399416.3304514
"176",6216768.16164394
"177",29416595.8944259
"178",6216768.16164395
"179",29416595.8944258
"180",29416595.8944258
"181",77399416.3304513
"182",6216768.16164394
"183",33402486.5716653
"184",6216768.16164396
"185",6216768.16164394
"186",6216768.16164394
"187",6216768.16164394
"188",6216768.16164395
"189",6216768.16164392
"190",6216768.16164394
"191",6216768.16164393
"192",6216768.16164394
"193",6216768.16164395
"194",6216768.16164396
"195",6216768.16164395
"196",6216768.16164397
"197",6216768.16164395
"198",6216768.16164393
"199",6216768.16164395
"200",6216768.16164395
"201",6216768.16164395
"202",6216768.16164397
"203",6216768.16164397
"204",6216768.16164395
"205",6216768.16164396
"206",6216768.16164395
"207",12676628.7700834
"208",20522.1706819027
"209",20522.1706819027
"210",41761383.7492194
"211",9268792.97786438
"212",9268792.9778644
"213",9268792.97786436
"214",9268792.97786443
"215",9268792.9778644
"216",41761383.7492194
"217",9268792.97786439
"218",72139.7047039773
"219",72139.7047039777
"220",72139.7047039774
"221",72139.7047039773
"222",72139.7047039774
"223",72139.7047039777
"224",72139.7047039776
"225",72139.7047039775
"226",72139.7047039775
