"","influenza_lev"
"226",-0.914618672746255
"227",-0.912112436051249
"228",-0.90558336554581
"229",-0.918004497871838
"230",-0.976534526246889
"231",-0.912112436051249
"232",-0.98566823118062
"233",-0.948190704489513
"234",-0.94029447986091
"235",-0.937084908944816
"236",-0.922442890928655
"237",-0.949527789234989
"238",-0.947032729354888
"239",-0.943162125141507
"240",-0.995049504950495
"241",-0.900650957800103
"242",-0.874479146488422
"243",-0.870359268885738
"244",-0.91623718921876
"245",-0.928615964391791
"246",-0.897698730210194
"247",-0.933082941399371
"248",-0.936541108486959
"249",-0.924698590448686
"250",-0.934093053719747
"251",-0.921786471087603
"252",-0.863653347686136
"253",-0.91682381397183
"254",-0.868566175486714
"255",-0.898923634791542
"256",-0.898518044171304
"257",-0.955108712323327
"258",-0.878205952249779
"259",-0.904878258527216
"260",-0.942204690084021
"261",-0.926116547926546
"262",-0.94047619047619
"263",-0.949901286184411
"264",-0.949901286184411
"265",-0.971830985915493
"266",-0.904878258527216
"267",-0.933627376329216
"268",-0.900783935415318
"269",-0.910090906900905
"270",-0.868566175486714
"271",-0.94047619047619
"272",-0.878450028623999
"273",-0.886529280733257
"274",-0.908443423769791
"275",-0.888881539905395
"276",-0.932664183658439
"277",-0.944299061918414
"278",-0.903505004288345
"279",-0.94047619047619
"280",-0.868566175486714
"281",-0.964418189817811
"282",-0.926116547926546
"283",-0.94047619047619
"284",-0.902922185037527
"285",-0.899202137182514
"286",-0.877752153441926
"287",-0.835540167624623
"288",-0.949901286184411
"289",-0.94047619047619
"290",-0.9434299553135
"291",-0.95350603891386
"292",-0.926116547926546
"293",-0.931161292386979
"294",-0.936541108486959
"295",-0.903450451917011
"296",-0.94047619047619
"297",-0.845066323869377
"298",-0.971830985915493
"299",-0.94047619047619
"300",-0.926116547926546
"301",-0.94047619047619
"302",-0.868566175486714
"303",-0.926116547926546
"304",-0.949040448128757
"305",-0.964674590649777
"306",-0.961452438980202
"307",-0.937918871252205
"308",-0.995049504950495
"309",-0.953010400330973
"310",-0.964726778844268
"311",-0.841455540673927
"312",-0.989396006015458
"313",-0.924115216730633
"314",-0.912112436051249
"315",-0.967283950617284
"316",-0.991717246789711
"317",-0.87461697343104
"318",-0.967741935483871
"319",-0.967741935483871
"320",-0.890381963363534
"321",-0.90179183877413
"322",-0.967741935483871
"323",-0.938644480607985
"324",-0.985390121036067
"325",-0.989699798100156
"326",-0.981652834929759
"327",-0.985678855759432
"328",-0.956046602992453
"329",-0.939571400002629
"330",-0.98566823118062
"331",-0.948597561107508
"332",-0.995049504950495
"333",-0.995049504950495
"334",-0.959973249987956
"335",-0.934826922689786
"336",-0.995049504950495
"337",-0.982701826319313
"338",-0.985970819304153
"339",-0.977765504847332
"340",-0.98007713498651
"341",-0.689923009136211
"342",-0.995049504950495
"343",-0.960882934316486
"344",-0.995049504950495
"345",-0.991589506172839
"346",-0.918378484321599
"347",-0.988141313170148
"348",-0.98566823118062
"349",-0.899823633156966
"350",-0.969810368775524
"351",-0.967194236161719
"352",-0.90790568854837
"353",-0.989107447866356
"354",-0.978688806837128
"355",-0.988657834612175
"356",-0.976879910213243
"357",-0.98007713498651
"358",-0.98566823118062
"359",-0.975288643106394
"360",-0.988141313170148
"361",-0.99210751864617
"362",-0.995049504950495
"363",-0.95797271798089
"364",-0.995049504950495
"365",-0.986474321604117
