"","influenza_sub"
"623",9674282528407332864
"624",19525543916494082048
"625",58250856971377205258
"626",2578408405327179264
"627",463346979345356096
"628",6249981565804843008
"629",5239072559402773504
"630",1635597916608835584
"631",3715054421839343104
"632",693103460140850048
"633",10574182026147420160
"634",5929851179685426176
"635",3975493935218186240
"636",249619453600935744
"637",2778001637667923456
"638",2327501333740658176
"639",6126587233895303168
"640",92406480026944307200
"641",249619453600935744
"642",2578408405327179264
"643",1676127324504698112
"644",3975493935218186240
"645",423090094515787648
"646",2327501333740658176
"647",533748620204182272
"648",4340471840484896768
"649",2578408405327179264
"650",2578408405327179264
"651",2578408405327179264
"652",2578408405327179264
"653",4771543657720840192
"654",249619453600935744
"655",461144344392856256
"656",643626586043896320
"657",2578408405327179264
"658",423090094515787648
"659",21994715361173299200
"660",175973583087698848
"661",6223679476800498688
"662",2327501333740658176
"663",2578408405327179264
"664",2327501333740658176
"665",4785915425030533120
"666",533748620204182272
"667",207628122582825088
"668",2578408405327179264
"669",20332212985483673600
"670",3790606585256031744
"671",6142709972825100288
"672",91593454723022416
"673",3178936187777462784
"674",1057561840741344128
"675",54688705833742327818
"676",12400517376834263040
"677",91593454723022416
"678",91593454723022416
"679",423090094515787648
"680",8854706675191033856
"681",2327501333740658176
"682",423090094515787648
"683",423090094515787648
"684",175973583087698848
"685",38657079584509894656
"686",51550371154954592256
"687",52297261385545695232
"688",175973583087698848
"689",908395542520834176
"690",7683504581884213248
"691",232707041205644960
"692",1576790795079694336
"693",575631666339592960
"694",423090094515787648
"695",88442617705513795584
"696",59804711001257960
"697",24271323577347736
"698",1008366899208806912
"699",310945800062210176
"700",157851527411445152
"701",157851527411445152
"702",74728874546516312064
"703",56988291611358617600
"704",23563507076575539200
"705",65999526567655694336
"706",3935619423438978048
"707",24271323577347736
"708",157851527411445152
"709",2606335615196647424
"710",13191288519690403840
"711",2.1725710684858e+19
"712",3.9304554450168e+19
"713",3078262233095803392
"714",1689142382304439808
"715",3078262233095803392
"716",1.5327668001785e+19
"717",236257030227958624
"718",42106713022973476864
"719",3697434753788709888
"720",1.7911074466869e+19
"721",4444485251731371520
"722",64165506347554922496
"723",22377688426336473088
"724",26468965672483315712
"725",157851527411445152
"726",1.4576232616289e+19
"727",1.2867036234017e+19
"728",157851527411445152
"729",44313270542130864128
"730",12809659052611145728
"731",157851527411445152
"732",10821795467400538112
"733",8785968734044340224
"734",157851527411445152
"735",157851527411445152
"736",64280613218318442496
"737",1715911937524817664
"738",1619995965098899456
"739",3412798760500794368
"740",13858350227051143168
"741",24271323577347736
"742",11401628233648054272
"743",157851527411445152
"744",157851527411445152
"745",1619995965098899456
"746",24271323577347736
"747",4393316060189318144
"748",157851527411445152
"749",157851527411445152
"750",2291200506224755968
"751",236257030227958624
"752",24271323577347736
"753",157851527411445152
"754",24271323577347736
"755",157851527411445152
"756",1519572703435532032
"757",157851527411445152
"758",24271323577347736
"759",157851527411445152
"760",5288678893660594176
"761",24271323577347736
"762",2868042627121706496
"763",157851527411445152
"764",669196554274599680
"765",32186013436111167488
"766",1702850564009871616
"767",659296063442238848
"768",33200981622733606912
"769",3078262233095803392
"770",236257030227958624
"771",66969849318209568778
"772",84591503059119718400
"773",24271323577347736
"774",1410707291530835712
"775",692313688887339264
"776",157851527411445152
"777",622058557908246144
"778",2411663928530615296
"779",65630080032720052224
"780",6.9281903205847e+19
"781",157851527411445152
"782",76721740806638714880
"783",410023029921617216
"784",157851527411445152
"785",5164754695684099072
"786",3078262233095803392
"787",27938986854311223296
"788",28671042421755752448
"789",38326170653764673536
"790",157851527411445152
"791",3261897702266586112
"792",10719010539973292032
"793",2774690626528496640
"794",2953884094793126912
"795",4053092026033312256
"796",1132615021717351040
"797",1173214596275883520
"798",72154494090964848
"799",72154494090964848
"800",2555407193897382400
"801",24271323577347736
"802",6679314680657783808
"803",56493777587140182016
"804",3078262233095803392
"805",7162519138791565312
"806",236257030227958624
"807",659296063442238848
"808",177497610700332128
"809",24271323577347736
"810",90537236176746741760
"811",189294307811776576
"812",24271323577347736
"813",3133311259945954304
"814",24271323577347736
"815",24271323577347736
"816",368290471918233152
"817",7167636957519492096
"818",368290471918233152
"819",632867481365477120
"820",368290471918233152
"821",72154494090964848
"822",449501141513945728
"823",72154494090964848
"824",72154494090964848
"825",72154494090964848
"826",52597684535322744
"827",52597684535322744
"828",2090074088497698816
"829",422605132070681856
"830",27842350212203581440
"831",11226013903255367680
"832",8479870105869773824
"833",8232009949900281856
"834",7593148020859331584
"835",4189564059266889728
"836",3043675802390807552
"837",6282629675866242048
"838",40541030541360234496
"839",2653178667697976320
"840",514532567564383552
"841",10815153062992291840
"842",6864916962799508480
"843",6780952867275005952
"844",3043675802390807552
"845",36544562628276895744
"846",16011308710448930816
"847",3043675802390807552
"848",24527532162104672256
"849",171947186189320416
"850",3043675802390807552
"851",25853067754522550272
"852",89984674080235470858
"853",3897971497594309120
"854",35614812334936649728
"855",1752643301368546048
"856",66651070183500652544
"857",8697501249337598976
"858",902333726513457920
"859",171947186189320416
"860",4.9834731986158e+19
"861",7728065425781037056
"862",3649996591963261952
"863",3902896874602572800
"864",530486295564162176
"865",3043675802390807552
"866",481569712331355136
"867",7599948987881353216
"868",1200744367216942592
"869",8232009949900281856
"870",50140377216565673984
"871",84182569542488342538
"872",1419154806627478784
"873",171947186189320416
"874",666668537762531584
"875",3884628625337340416
"876",14188983858514774016
"877",3043675802390807552
"878",3043675802390807552
"879",1292317215783113216
"880",61194193051111563264
"881",2534901481765263360
"882",1348015388662094336
"883",1200744367216942592
"884",3258099058620592128
"885",4456958912323120128
"886",18041644420947554304
"887",1200744367216942592
"888",2751392647140592128
"889",446711115820979840
"890",862799833321233152
"891",3043675802390807552
