"","influenza_av"
"284",2.91350964974982
"285",2.7855611150822
"286",2.79556826304503
"287",2.43745532523231
"288",3.07505360972123
"289",3.92280200142959
"290",3.07862759113653
"291",3.40671908506076
"292",2.9120800571837
"293",2.9349535382416
"294",2.79127948534668
"295",2.96711937097927
"296",3.92280200142959
"297",2.80986418870622
"298",4.04145818441744
"299",3.92280200142959
"300",2.9120800571837
"301",3.92280200142959
"302",2.90421729807005
"303",2.9120800571837
"304",2.63688348820586
"305",2.94496068620443
"306",2.80057183702645
"307",3.67405289492495
"308",3.69406719085061
"309",2.67548248749106
"310",3.29378127233738
"311",3.48320228734811
"312",3.51751250893495
"313",2.77126518942101
"314",2.7891350964975
"315",3.65689778413152
"316",3.35453895639743
"317",3.29235167977127
"318",4.06647605432452
"319",4.06647605432452
"320",3.8277340957827
"321",2.87205146533238
"322",4.06647605432452
"323",2.48892065761258
"324",3.05861329521086
"325",3.48320228734811
"326",3.26090064331665
"327",3.27305218012866
"328",2.69192280200143
"329",2.75125089349535
"330",3.15439599714081
"331",2.79771265189421
"332",3.69406719085061
"333",3.69406719085061
"334",3.31951393852752
"335",2.65046461758399
"336",3.69406719085061
"337",3.12365975696926
"338",3.58613295210865
"339",3.06361686919228
"340",3.12794853466762
"341",2.46890636168692
"342",3.69406719085061
"343",3.337383845604
"344",3.69406719085061
"345",3.39385275196569
"346",2.88563259471051
"347",3.51536812008578
"348",3.15439599714081
"349",3.68120085775554
"350",3.0807719799857
"351",2.81272337383846
"352",2.38956397426733
"353",3.21300929235168
"354",2.92709077912795
"355",3.25518227305218
"356",3.65618298784846
"357",3.12794853466762
"358",3.15439599714081
"359",2.87062187276626
"360",3.51536812008578
"361",3.32523230879199
"362",3.69406719085061
"363",2.89063616869192
"364",3.69406719085061
"365",3.29020729092209
"366",3.18584703359543
"367",2.92423159399571
"368",2.94138670478914
"369",3.69406719085061
"370",3.16225875625447
"371",3.07934238741959
"372",3.90064331665475
"373",3.90064331665475
"374",4.09864188706219
"375",4.09864188706219
"376",4.09864188706219
"377",4.09864188706219
"378",4.09864188706219
"379",2.74481772694782
"380",3.70693352394568
"381",3.70693352394568
"382",3.85346676197284
"383",3.75625446747677
"384",3.75625446747677
"385",4.09864188706219
"386",4.09864188706219
"387",3.42744817726948
"388",3.78341672623302
"389",2.79842744817727
"390",2.92780557541101
"391",3.61401000714796
"392",2.98570407433881
"393",3.78341672623302
"394",3.65618298784846
"395",3.65618298784846
"396",3.58470335954253
"397",3.25232308791994
"398",3.27448177269478
"399",3.69406719085061
"400",3.17726947819871
"401",3.69406719085061
"402",3.53967119370979
"403",3.2759113652609
"404",3.59685489635454
"405",3.65689778413152
"406",3.5746962115797
"407",3.93423874195854
"408",3.81343817012152
"409",3.81343817012152
"410",3.81343817012152
"411",2.82916368834882
"412",3.57898498927806
"413",3.06790564689064
"414",3.13366690493209
"415",3.55754110078628
"416",3.55754110078628
"417",3.55754110078628
"418",3.55754110078628
"419",3.55754110078628
"420",3.55754110078628
"421",2.98213009292352
"422",3.55754110078628
"423",3.55754110078628
"424",3.55754110078628
"425",3.55754110078628
"426",3.55754110078628
"427",3.55754110078628
"428",3.55754110078628
"429",3.55754110078628
"430",2.62401715511079
"431",3.55754110078628
"432",3.55754110078628
"433",3.55754110078628
"434",3.55754110078628
"435",3.55754110078628
"436",3.55754110078628
"437",3.55754110078628
"438",3.55754110078628
"439",3.55754110078628
"440",3.55754110078628
"441",3.55754110078628
